Time (s),ECG,HR GT
0.6625,2224,N/A
0.6650,2132,N/A
0.6675,2060,N/A
0.6700,1972,N/A
0.6725,1874,N/A
0.6750,1760,N/A
0.6775,1608,N/A
0.6800,1452,N/A
0.6825,1272,N/A
0.6850,1098,N/A
0.6875,924,N/A
0.6900,726,N/A
0.6925,499,N/A
0.6950,363,N/A
0.6975,317,N/A
0.7000,364,N/A
0.7025,391,N/A
0.7050,384,N/A
0.7075,361,N/A
0.7100,392,N/A
0.7125,432,N/A
0.7150,497,N/A
0.7175,530,N/A
0.7200,556,N/A
0.7225,577,N/A
0.7250,584,N/A
0.7275,593,N/A
0.7300,609,N/A
0.7325,646,N/A
0.7350,694,N/A
0.7375,752,N/A
0.7400,858,N/A
0.7425,949,N/A
0.7450,982,N/A
0.7475,981,N/A
0.7500,1028,N/A
0.7525,1094,N/A
0.7550,1136,N/A
0.7575,1141,N/A
0.7600,1122,N/A
0.7625,1122,N/A
0.7650,1154,N/A
0.7675,1189,N/A
0.7700,1201,N/A
0.7725,1211,N/A
0.7750,1238,N/A
0.7775,1290,N/A
0.7800,1314,N/A
0.7825,1329,N/A
0.7850,1323,N/A
0.7875,1264,N/A
0.7900,1272,N/A
0.7925,1184,N/A
0.7950,1129,N/A
0.7975,1081,N/A
0.8000,1061,N/A
0.8025,1058,N/A
0.8050,1104,N/A
0.8075,1165,N/A
0.8100,1240,N/A
0.8125,1312,N/A
0.8150,1368,N/A
0.8175,1385,N/A
0.8200,1368,N/A
0.8225,1345,N/A
0.8250,1348,N/A
0.8275,1376,N/A
0.8300,1385,N/A
0.8325,1357,N/A
0.8350,1289,N/A
0.8375,1205,N/A
0.8400,1155,N/A
0.8425,1172,N/A
0.8450,1234,N/A
0.8475,1301,N/A
0.8500,1401,N/A
0.8525,1504,N/A
0.8550,1496,N/A
0.8575,1420,N/A
0.8600,1313,N/A
0.8625,1248,N/A
0.8650,1206,N/A
0.8675,1184,N/A
0.8700,1173,N/A
0.8725,1136,N/A
0.8750,1133,N/A
0.8775,1133,N/A
0.8800,1162,N/A
0.8825,1203,N/A
0.8850,1260,N/A
0.8875,1329,N/A
0.8900,1376,N/A
0.8925,1394,N/A
0.8950,1412,N/A
0.8975,1434,N/A
0.9000,1440,N/A
0.9025,1410,N/A
0.9050,1368,N/A
0.9075,1340,N/A
0.9100,1353,N/A
0.9125,1388,N/A
0.9150,1436,N/A
0.9175,1491,N/A
0.9200,1530,N/A
0.9225,1536,N/A
0.9250,1466,N/A
0.9275,1345,N/A
0.9300,1272,N/A
0.9325,1293,N/A
0.9350,1348,N/A
0.9375,1392,N/A
0.9400,1432,N/A
0.9425,1472,N/A
0.9450,1417,N/A
0.9475,1328,N/A
0.9500,1184,N/A
0.9525,1057,N/A
0.9550,1024,N/A
0.9575,1032,N/A
0.9600,1104,N/A
0.9625,1234,N/A
0.9650,1350,N/A
0.9675,1428,N/A
0.9700,1494,N/A
0.9725,1545,N/A
0.9750,1602,N/A
0.9775,1664,N/A
0.9800,1648,N/A
0.9825,1554,N/A
0.9850,1434,N/A
0.9875,1364,N/A
0.9900,1339,N/A
0.9925,1344,N/A
0.9950,1397,N/A
0.9975,1476,N/A
1.0000,1497,N/A
1.0025,1449,N/A
1.0050,1368,N/A
1.0075,1301,N/A
1.0100,1266,N/A
1.0125,1292,N/A
1.0150,1344,N/A
1.0175,1363,N/A
1.0200,1378,N/A
1.0225,1352,N/A
1.0250,1304,N/A
1.0275,1264,N/A
1.0300,1272,N/A
1.0325,1328,N/A
1.0350,1408,N/A
1.0375,1496,N/A
1.0400,1556,N/A
1.0425,1520,N/A
1.0450,1433,N/A
1.0475,1425,N/A
1.0500,1392,N/A
1.0525,1400,N/A
1.0550,1424,N/A
1.0575,1472,N/A
1.0600,1456,N/A
1.0625,1408,N/A
1.0650,1344,N/A
1.0675,1301,N/A
1.0700,1292,N/A
1.0725,1312,N/A
1.0750,1316,N/A
1.0775,1329,N/A
1.0800,1360,N/A
1.0825,1424,N/A
1.0850,1472,N/A
1.0875,1480,N/A
1.0900,1480,N/A
1.0925,1480,N/A
1.0950,1456,N/A
1.0975,1409,N/A
1.1000,1344,N/A
1.1025,1280,N/A
1.1050,1234,N/A
1.1075,1232,N/A
1.1100,1256,N/A
1.1125,1328,N/A
1.1150,1413,N/A
1.1175,1488,N/A
1.1200,1522,N/A
1.1225,1536,N/A
1.1250,1553,N/A
1.1275,1584,N/A
1.1300,1608,N/A
1.1325,1624,N/A
1.1350,1632,N/A
1.1375,1648,N/A
1.1400,1657,N/A
1.1425,1640,N/A
1.1450,1578,N/A
1.1475,1512,N/A
1.1500,1461,N/A
1.1525,1400,N/A
1.1550,1316,N/A
1.1575,1280,N/A
1.1600,1312,N/A
1.1625,1360,N/A
1.1650,1392,N/A
1.1675,1384,N/A
1.1700,1386,N/A
1.1725,1408,N/A
1.1750,1416,N/A
1.1775,1440,N/A
1.1800,1488,N/A
1.1825,1568,N/A
1.1850,1675,N/A
1.1875,1733,N/A
1.1900,1729,N/A
1.1925,1657,N/A
1.1950,1568,N/A
1.1975,1494,N/A
1.2000,1504,N/A
1.2025,1504,N/A
1.2050,1472,N/A
1.2075,1488,N/A
1.2100,1432,N/A
1.2125,1456,N/A
1.2150,1476,N/A
1.2175,1536,N/A
1.2200,1584,N/A
1.2225,1632,N/A
1.2250,1669,N/A
1.2275,1716,N/A
1.2300,1705,N/A
1.2325,1648,N/A
1.2350,1580,N/A
1.2375,1548,N/A
1.2400,1536,N/A
1.2425,1568,N/A
1.2450,1672,N/A
1.2475,1777,N/A
1.2500,1840,N/A
1.2525,1869,N/A
1.2550,1882,N/A
1.2575,1836,N/A
1.2600,1720,N/A
1.2625,1544,N/A
1.2650,1338,N/A
1.2675,1250,N/A
1.2700,1312,N/A
1.2725,1440,N/A
1.2750,1500,N/A
1.2775,1488,N/A
1.2800,1432,N/A
1.2825,1370,N/A
1.2850,1296,N/A
1.2875,1252,N/A
1.2900,1245,N/A
1.2925,1312,N/A
1.2950,1472,N/A
1.2975,1664,N/A
1.3000,1828,N/A
1.3025,1952,N/A
1.3050,1964,N/A
1.3075,1874,N/A
1.3100,1720,N/A
1.3125,1600,N/A
1.3150,1552,N/A
1.3175,1496,N/A
1.3200,1368,N/A
1.3225,1228,N/A
1.3250,1145,N/A
1.3275,1164,N/A
1.3300,1184,N/A
1.3325,1196,N/A
1.3350,1196,N/A
1.3375,1216,N/A
1.3400,1228,N/A
1.3425,1220,N/A
1.3450,1237,N/A
1.3475,1296,N/A
1.3500,1369,N/A
1.3525,1400,N/A
1.3550,1424,N/A
1.3575,1419,N/A
1.3600,1386,N/A
1.3625,1300,N/A
1.3650,1178,N/A
1.3675,1120,N/A
1.3700,1104,N/A
1.3725,1093,N/A
1.3750,1108,N/A
1.3775,1130,N/A
1.3800,1201,N/A
1.3825,1258,N/A
1.3850,1292,N/A
1.3875,1280,N/A
1.3900,1197,N/A
1.3925,1112,N/A
1.3950,1024,N/A
1.3975,971,N/A
1.4000,992,N/A
1.4025,1032,N/A
1.4050,1056,N/A
1.4075,1057,N/A
1.4100,1064,N/A
1.4125,1080,N/A
1.4150,1184,N/A
1.4175,1264,N/A
1.4200,1314,N/A
1.4225,1292,N/A
1.4250,1256,N/A
1.4275,1216,N/A
1.4300,1136,N/A
1.4325,1034,N/A
1.4350,922,N/A
1.4375,804,N/A
1.4400,721,N/A
1.4425,692,N/A
1.4450,740,N/A
1.4475,856,N/A
1.4500,981,N/A
1.4525,1049,N/A
1.4550,1048,N/A
1.4575,1034,N/A
1.4600,1000,N/A
1.4625,949,N/A
1.4650,904,N/A
1.4675,896,N/A
1.4700,955,N/A
1.4725,1088,N/A
1.4750,1232,N/A
1.4775,1321,N/A
1.4800,1300,N/A
1.4825,1233,N/A
1.4850,1116,N/A
1.4875,939,N/A
1.4900,785,N/A
1.4925,686,N/A
1.4950,672,N/A
1.4975,722,N/A
1.5000,824,N/A
1.5025,946,N/A
1.5050,1034,N/A
1.5075,1051,N/A
1.5100,1032,N/A
1.5125,1020,N/A
1.5150,1030,N/A
1.5175,1041,N/A
1.5200,1008,N/A
1.5225,922,N/A
1.5250,896,N/A
1.5275,853,N/A
1.5300,816,N/A
1.5325,748,N/A
1.5350,745,N/A
1.5375,755,N/A
1.5400,779,N/A
1.5425,835,N/A
1.5450,922,N/A
1.5475,992,N/A
1.5500,1036,N/A
1.5525,1040,N/A
1.5550,1048,N/A
1.5575,1033,N/A
1.5600,1024,N/A
1.5625,1004,N/A
1.5650,989,N/A
1.5675,1000,N/A
1.5700,1024,N/A
1.5725,1058,N/A
1.5750,1104,N/A
1.5775,1108,N/A
1.5800,1112,N/A
1.5825,1137,N/A
1.5850,1120,N/A
1.5875,1096,N/A
1.5900,1080,N/A
1.5925,1076,N/A
1.5950,1056,N/A
1.5975,996,N/A
1.6000,960,N/A
1.6025,960,N/A
1.6050,954,N/A
1.6075,996,N/A
1.6100,1050,N/A
1.6125,1092,N/A
1.6150,1104,N/A
1.6175,1104,N/A
1.6200,1110,N/A
1.6225,1122,N/A
1.6250,1152,N/A
1.6275,1184,N/A
1.6300,1162,N/A
1.6325,1144,N/A
1.6350,1146,N/A
1.6375,1128,N/A
1.6400,1120,N/A
1.6425,1104,N/A
1.6450,1096,N/A
1.6475,1089,N/A
1.6500,1133,N/A
1.6525,1190,N/A
1.6550,1210,N/A
1.6575,1152,N/A
1.6600,1052,N/A
1.6625,1006,N/A
1.6650,1013,N/A
1.6675,1051,N/A
1.6700,1064,N/A
1.6725,1045,N/A
1.6750,1056,N/A
1.6775,1081,N/A
1.6800,1128,N/A
1.6825,1189,N/A
1.6850,1290,N/A
1.6875,1353,N/A
1.6900,1350,N/A
1.6925,1312,N/A
1.6950,1280,N/A
1.6975,1228,N/A
1.7000,1178,N/A
1.7025,1168,N/A
1.7050,1185,N/A
1.7075,1188,N/A
1.7100,1130,N/A
1.7125,1056,N/A
1.7150,1042,N/A
1.7175,985,N/A
1.7200,1032,N/A
1.7225,1114,N/A
1.7250,1184,N/A
1.7275,1216,N/A
1.7300,1220,N/A
1.7325,1196,N/A
1.7350,1186,N/A
1.7375,1185,N/A
1.7400,1185,N/A
1.7425,1168,N/A
1.7450,1192,N/A
1.7475,1275,N/A
1.7500,1369,N/A
1.7525,1464,N/A
1.7550,1444,N/A
1.7575,1305,N/A
1.7600,1133,N/A
1.7625,1009,N/A
1.7650,956,N/A
1.7675,924,N/A
1.7700,921,N/A
1.7725,930,N/A
1.7750,968,N/A
1.7775,992,N/A
1.7800,992,N/A
1.7825,994,N/A
1.7850,1094,N/A
1.7875,1257,N/A
1.7900,1416,N/A
1.7925,1529,N/A
1.7950,1506,N/A
1.7975,1432,N/A
1.8000,1312,N/A
1.8025,1221,N/A
1.8050,1180,N/A
1.8075,1196,N/A
1.8100,1221,N/A
1.8125,1232,N/A
1.8150,1248,N/A
1.8175,1288,N/A
1.8200,1329,N/A
1.8225,1361,N/A
1.8250,1356,N/A
1.8275,1376,N/A
1.8300,1292,N/A
1.8325,1192,N/A
1.8350,1170,N/A
1.8375,1125,N/A
1.8400,1116,N/A
1.8425,1130,N/A
1.8450,1158,N/A
1.8475,1216,N/A
1.8500,1291,N/A
1.8525,1360,N/A
1.8550,1408,N/A
1.8575,1440,N/A
1.8600,1425,N/A
1.8625,1376,N/A
1.8650,1282,N/A
1.8675,1169,N/A
