Time (s),PPG_Red,PPG_IR,ECG_Raw,Resample Time (s),PPG_Red_Clean,PPG_IR_Clean,ECG_Clean,Suhu Obj,Suhu Amb
0.0,60060,99715,33,0.0,-5.925505356046392,-11.554768947121243,-367.08198274311866,31.85,29.88
0.0025,60062,99711,2179,0.00800073343112415,-11.249951715615431,-30.4679115007537,-234.58654766816144,31.85,29.88
0.005,60037,99701,3432,0.0160014668622483,-15.773091237593333,-46.18423294710598,-126.04917888376852,31.85,29.88
0.0075,60060,99720,3084,0.02400220029337245,-19.494923921980096,-58.70373328617811,-41.46987638993983,31.85,29.88
0.01,60059,99720,1688,0.0320029337244966,-22.415449768775716,-68.02641251797004,19.151359813324518,31.85,29.88
0.0125,60054,99715,706,0.040003667155620745,-24.534668777980286,-74.15227064248207,55.81452972602493,31.85,29.88
0.015,60045,99720,108,0.0480044005867449,-24.287198967551618,-72.17353003917074,8.02882276746157,31.85,29.88
0.0175,60056,99704,35,0.05600513401786905,-24.044829811561385,-69.34090651745163,5.832265749194855,31.85,29.88
0.02,60045,99714,486,0.0640058674489932,-24.317252483368136,-67.35976563129928,3.1130170028862345,31.85,29.88
0.0225,60051,99716,2258,0.07200660088011734,-25.18860065605969,-66.71749668190556,-26.278041312223372,31.85,29.88
0.025,60062,99713,3602,0.08000733431124149,-26.46713458925099,-67.27879643811409,-61.36334908787005,31.85,29.88
0.0275,60056,99714,3086,0.08800806774236565,-27.850116722536175,-68.77482303564713,-94.09061564412904,31.85,29.88
0.03,60059,99728,1768,0.0960088011734898,-29.097673223516537,-71.00448413281016,-119.32898126154885,31.85,29.88
0.0325,60063,99716,724,0.10400953460461394,-30.11837648112534,-73.75257325852276,-132.14967840711296,31.85,29.88
0.035,60066,99714,118,0.1120102680357381,-30.9383839735015,-76.72872991022656,-135.2858286769348,31.85,29.88
0.0375,60055,99725,37,0.12001100146686225,-31.655766008461327,-79.70184683859677,-129.5442761588502,31.85,29.88
0.04,60059,99704,533,0.1280117348979864,-32.391985642232285,-82.55209915728945,-124.0895799972729,31.85,29.88
0.0425,60048,99705,2358,0.13601246832911054,-33.2178651978557,-85.17311258167003,-146.26287313813663,31.85,29.88
0.045,60050,99711,3672,0.1440132017602347,-34.137315202525556,-87.48300356922954,-176.98435521607036,31.85,29.88
0.0475,60052,99707,3164,0.15201393519135883,-35.147899992266105,-89.5023030024666,-121.62589045534588,31.85,29.88
0.05,60057,99729,1925,0.16001466862248298,-36.2760519394547,-91.31788798103938,61.53055322927587,31.85,29.88
0.0525,60052,99723,839,0.16801540205360715,-37.576938721747986,-93.01855799976143,303.9689626069725,31.85,29.88
0.055,60059,99732,130,0.1760161354847313,-39.11996663010791,-94.67781269342095,517.0369851714779,31.85,29.88
0.0575,60056,99731,40,0.18401686891585545,-40.89039859208705,-96.3152676017506,635.2421440745491,31.85,29.88
0.06,60055,99730,549,0.1920176023469796,-42.6768138892631,-97.86619240593916,629.6660214724479,31.85,29.88
