Time (s),PPG_Red,PPG_IR,ECG_Raw,Resample Time (s),PPG_Red_Clean,PPG_IR_Clean,ECG_Clean,Suhu Obj,Suhu Amb
0.0,92094,113234,2419,0.0,-853.9987682506697,-128.1482414063236,-97.92596363753138,30.91,28.32
0.0025,92194,113234,1270,0.00800073343112415,-741.1085481267093,-88.47826713773054,-70.64115572374814,30.91,28.32
0.005,92105,113239,445,0.0160014668622483,-650.9295172384891,-56.19560960237119,-45.91373476629923,30.91,28.32
0.0075,91896,113231,71,0.02400220029337245,-583.4616755860093,-31.300268800245533,-23.743700765184613,30.91,28.32
0.01,91948,113234,24,0.0320029337244966,-538.7050231692697,-13.792244731353549,-4.1310537204043385,30.91,28.32
0.0125,92070,113227,305,0.040003667155620745,-516.6595599882712,-3.6715373956951964,12.92420636804168,30.91,28.32
0.015,91998,113224,1545,0.0480044005867449,-542.032756159077,-9.266081783413032,32.58868983146262,30.91,28.32
0.0175,91556,113228,2578,0.05600513401786905,-582.8549686977699,-18.545556828921544,28.51547305117903,30.91,28.32
0.02,91764,113226,2459,0.0640058674489932,-623.7093419942032,-28.444401336812405,37.810759266787386,30.91,28.32
0.0225,91891,113220,1451,0.07200660088011734,-652.618942924641,-37.732626891858075,58.0651200254119,30.91,28.32
0.025,91884,113212,580,0.08000733431124149,-662.9948499237405,-46.161798330867285,63.3583318792595,30.91,28.32
0.0275,91705,113209,88,0.08800806774236565,-654.0964665498886,-53.90193640032453,61.52171009369071,30.91,28.32
0.03,91549,113207,28,0.0960088011734898,-630.870855931659,-61.205369643050055,74.82358611048343,30.91,28.32
0.0325,91754,113197,234,0.10400953460461394,-602.2217392690609,-68.17733495559133,113.53464068542496,30.91,28.32
0.035,91779,113195,1407,0.1120102680357381,-577.9958731942526,-74.7210606920237,160.8985800280725,30.91,28.32
0.0375,91115,113202,2592,0.12001100146686225,-565.6510398137985,-80.58461416588275,203.60841956102996,30.91,28.32
0.04,91740,113201,2481,0.1280117348979864,-567.0246620056445,-85.40555813286818,253.5591253718716,30.91,28.32
0.0425,91566,113202,1338,0.13601246832911054,-577.3937760165741,-88.73211919810717,307.57960659678525,30.91,28.32
0.045,91767,113207,538,0.1440132017602347,-588.1703832242545,-90.0546362165139,351.1641842383941,30.91,28.32
0.0475,91707,113199,86,0.15201393519135883,-590.0660804531789,-88.91002168289825,384.6407519311372,30.91,28.32
0.05,91560,113201,29,0.16001466862248298,-574.1974930414336,-85.05530377453385,407.3732113098488,30.91,28.32
0.0525,91808,113196,328,0.16801540205360715,-534.4867547665691,-78.56779229253759,415.11280481863355,30.91,28.32
0.055,91763,113199,1491,0.1760161354847313,-471.30425093366813,-69.7627979181518,423.26079418406897,30.91,28.32
0.0575,91375,113194,2780,0.18401686891585545,-390.21270133022267,-59.02288403349256,443.40602960941794,30.91,28.32
0.06,91451,113188,2496,0.1920176023469796,-297.68891554827127,-46.65060877500389,449.9198686085988,30.91,28.32
0.0625,91492,113195,1594,0.20001833577810374,-199.38420929403338,-32.7924809565272,434.09204816969464,30.91,28.32
0.065,91721,113197,332,0.20801906920922789,-99.40573027112032,-17.48902881629703,412.69977051681394,30.91,28.32
0.0675,91575,113195,94,0.21601980264035203,0.1257046579818668,-0.8003986461645289,365.42970727457885,30.91,28.32
0.07,91687,113193,18,0.2240205360714762,97.59474769525464,17.105753887446454,274.7567937193776,30.91,28.32
0.0725,91780,113183,379,0.23202126950260035,190.71393309984683,35.96377982543655,163.7906081342685,30.91,28.32
0.075,91772,113195,2076,0.2400220029337245,277.6618721724233,55.51110780136714,42.65450154056601,30.91,28.32
