Time (s),PPG_Red,PPG_IR,ECG_Raw,Resample Time (s),PPG_Red_Clean,PPG_IR_Clean,ECG_Clean,Suhu Obj,Suhu Amb
0.0,31318,28905,1132,0.0,15009.894657816398,19628.315960264696,82.23698452699281,24.29,30.82
0.0025,32562,28910,1237,0.00800073343112415,25320.95455022662,34286.00410726834,60.21513161069935,24.29,30.82
0.005,32108,28830,1356,0.0160014668622483,34252.58555898862,46649.523715131596,40.36646358153098,24.29,30.82
0.0075,31912,28668,1531,0.02400220029337245,41804.787684102404,56718.87478385445,22.69098043948769,24.29,30.82
0.01,31017,28435,1574,0.0320029337244966,47977.56092556797,64494.05731343693,7.188682184569473,24.29,30.82
0.0125,31753,28153,1457,0.040003667155620745,52770.90528338544,69975.0713038792,-6.140431183223709,24.29,30.82
0.015,31420,27830,1332,0.0480044005867449,54845.083906755855,70435.0199753138,-30.449910971018163,24.29,30.82
0.0175,32091,27468,1185,0.05600513401786905,56316.512132041695,69982.07155281428,-39.81313658711532,24.29,30.82
0.02,31664,27151,1152,0.0640058674489932,57489.91603437009,69462.925179203,-38.14049017107447,24.29,30.82
0.0225,32387,26808,1172,0.07200660088011734,58173.54484588637,68932.5786422915,-26.681950639792703,24.29,30.82
0.025,31161,26473,1306,0.08000733431124149,58020.77462996151,68097.61292585176,-6.584115966922332,24.29,30.82
0.0275,31118,26163,1420,0.08800806774236565,56805.672160404196,66691.71369178627,15.522579356157198,24.29,30.82
0.03,29291,25861,1485,0.0960088011734898,54556.721186009,64663.80997069417,38.596398911898035,24.29,30.82
0.0325,29151,25562,1438,0.10400953460461394,51570.96059475675,62205.201442501086,62.844701867162414,24.29,30.82
0.035,28692,25221,1250,0.1120102680357381,48345.83253869927,59680.38575593708,83.45724831390332,24.29,30.82
0.0375,28672,24870,1124,0.12001100146686225,45468.624580738935,57524.524586213316,97.25103067627836,24.29,30.82
0.04,25162,25654,1060,0.1280117348979864,43490.85621601246,56137.61419013492,102.0869939495238,24.29,30.82
0.0425,25193,26062,1128,0.13601246832911054,42805.119081125085,55789.87545033343,94.51538690055926,24.29,30.82
0.045,24838,23592,1241,0.1440132017602347,43548.008498225274,56556.641104707654,73.83679309511302,24.29,30.82
0.0475,24626,23140,1399,0.15201393519135883,45564.665347521746,58302.639608153215,42.85706215841202,24.29,30.82
0.05,21920,22666,1455,0.16001466862248298,48458.00761137112,60721.456378777875,2.788682148954846,28.04,30.79
0.0525,21544,22208,1416,0.16801540205360715,51704.12148101561,63413.57029032544,-45.123622933057916,28.04,30.79
0.055,20595,21757,1298,0.1760161354847313,54783.65817757779,65974.90061578619,-92.57191281422001,28.04,30.79
0.0575,20021,21333,1122,0.18401686891585545,57286.438136688754,68073.15832016009,-129.64002363555142,28.04,30.79
0.06,19199,20951,1050,0.1920176023469796,58971.969724733746,69499.78160694335,-152.9720830307947,28.04,30.79
0.0625,18519,20644,1105,0.20001833577810374,59783.340376473825,70190.95100667367,-163.91379679524215,28.04,30.79
0.065,17898,20377,1200,0.20801906920922789,59817.796246279155,70215.35015389843,-165.81491081124227,28.04,30.79
0.0675,17569,20219,1366,0.21601980264035203,59269.1936014376,69735.71678383002,-160.35988311706333,28.04,30.79
0.07,17304,20133,1429,0.2240205360714762,58370.43918453231,68961.80791754302,-145.4554823350925,28.04,30.79
0.0725,16970,20146,1388,0.23202126950260035,57359.154497571755,68113.54469039866,-129.2082345770682,28.04,30.79
0.075,16956,20248,1221,0.2400220029337245,56465.80902643633,67400.4271344044,-137.29231877297534,28.04,30.79
0.0775,17234,20454,1130,0.24802273636484864,55902.7185754972,67007.15120927934,-167.80715975440825,28.04,30.79
0.08,17189,20760,1089,0.2560234697959728,55836.2384770027,67071.89977923463,-148.42080126094586,28.04,30.79
0.0825,17316,21173,1151,0.26402420322709697,56347.29438623893,67655.30983877023,-6.193565715481384,28.04,30.79
0.085,18032,21696,1301,0.2720249366582211,57400.92947751954,68713.02712632,215.44221961080868,28.04,30.79
0.08750000000000001,18383,22271,1413,0.28002567008934526,58841.354047589324,70090.62581847314,378.18504425297317,28.04,30.79
0.09,19228,23007,1487,0.2880264035204694,60417.30678016735,71550.11108516209,396.65745870114256,28.04,30.79
0.0925,19863,23813,1453,0.29602713695159355,61833.75832581161,72818.17330303254,301.40157159326156,28.04,30.79
0.095,20598,24685,1300,0.30402787038271767,62811.92311181777,73635.0492653124,153.49350770123877,28.04,30.79
0.0975,21259,25632,1221,0.31202860381384184,63128.82751260244,73788.25430457316,-29.170174727347046,28.04,30.79
0.1,22891,26675,1186,0.32002933724496596,62623.36809962166,73126.9863210081,-239.51688547418206,28.04,30.79
0.10250000000000001,23891,27777,1254,0.32803007067609014,61181.257599193894,71560.50243993841,-418.797511259354,28.04,30.79
0.105,24660,28884,1430,0.3360308041072143,58720.74330315432,69051.99915928527,-468.267772340527,28.04,30.79
0.1075,25781,29935,1560,0.34403153753833843,55200.90107803482,65625.82427842934,-349.7711820196039,28.04,30.79
0.11,27572,30980,1624,0.3520322709694626,50658.93745573283,61391.85036227897,-152.2207507237742,28.04,30.79
0.1125,29451,32009,1550,0.3600330044005867,45249.215710370336,56563.184035448394,-3.499646580384219,28.04,30.79
0.115,31050,32948,1340,0.3680337378317109,39248.808014479444,51439.33855239142,64.45529681482742,28.04,30.79
0.11750000000000001,32048,33767,1236,0.376034471262835,33025.93063659276,46354.957474505005,102.51274474135204,28.04,30.79
0.12,32634,34536,1186,0.3840352046939592,26986.985669910846,41618.7028841421,140.69026021826937,28.04,30.79
0.1225,33019,35213,1264,0.39203593812508336,21510.07371009777,37463.25862794332,170.61430390109734,28.04,30.79
0.125,34746,35738,1425,0.4000366715562075,16876.138187038745,34012.47192905146,185.02256062794322,28.04,30.79
0.1275,36213,36141,1512,0.40803740498733165,13223.668101653164,31270.748668153516,182.2836314076563,28.04,30.79
0.13,36282,36398,1571,0.41603813841845577,10544.337455898793,29145.063806775448,163.8470064208484,28.04,30.79
0.1325,35490,36569,1570,0.42403887184957995,8716.619114422976,27498.38690170308,140.26320037452146,28.04,30.79
0.135,36054,36627,1423,0.43203960528070406,7560.2797247754625,26208.668499173815,122.80128011958888,28.04,30.79
0.1375,36007,36647,1304,0.44004033871182824,6876.587520788984,25197.90211244292,115.55463020039943,28.04,30.79
0.14,36283,36588,1225,0.4480410721429524,6457.178680885001,24419.70467269634,117.50911584915477,28.04,30.79
0.14250000000000002,36053,36431,1270,0.45604180557407653,6095.550087073983,23831.089871607503,123.44127307439913,28.04,30.79
0.145,35244,36163,1424,0.4640425390052007,5623.264264516214,23380.156337292705,127.0251675146541,28.04,30.79
0.1475,34805,35755,1524,0.4720432724363248,4939.3475414336435,23009.84182647986,125.93630544330625,28.04,30.79
0.15,33268,35177,1595,0.480044005867449,4005.512701284291,22656.35047075413,120.98006421418216,28.04,30.79
0.1525,33284,34435,1541,0.4880447392985731,2816.5468589675143,22235.291188914653,114.81142527332334,28.04,30.79
0.155,32346,33564,1349,0.4960454727296973,1366.7676297533944,21627.377780182385,110.12617563970373,28.04,30.79
0.1575,30334,32609,1241,0.5040462061608214,-364.8874502603974,20677.830223908557,105.11397785550514,28.04,30.79
0.16,30127,31657,1145,0.5120469395919456,-2403.916871738648,19221.01013071004,98.64598464312536,28.04,30.79
0.1625,28516,30599,1158,0.5200476730230698,-4763.1387802563,17134.761904762294,96.48086082577802,28.04,30.79
0.165,27169,29552,1288,0.5280484064541939,-7413.230966636899,14411.941973142377,100.22363457620362,28.04,30.79
0.1675,25164,28450,1407,0.536049139885318,-10216.147926402653,11222.467984336401,98.43753886879296,28.04,30.79
0.17,24560,27389,1456,0.5440498733164422,-12879.983433103946,7906.779672455958,78.29864872693861,28.04,30.79
0.17250000000000001,22562,26417,1392,0.5520506067475663,-15041.293611259976,4821.392713510087,36.69479159942261,28.04,30.79
0.17500000000000002,22770,25541,1172,0.5600513401786905,-16442.263041552837,2116.282357529445,-21.351791638488237,28.04,30.79
0.1775,21095,24786,1056,0.5680520736098146,-17041.538838367123,-326.6432592596426,-84.19863323133741,28.04,30.79
0.18,20882,24159,986,0.5760528070409388,-16996.513794954386,-2764.8921866863357,-139.51410191905646,28.04,30.79
0.1825,19671,23682,1040,0.5840535404720629,-16584.822835393716,-5450.673846356797,-183.68453565700906,28.04,30.79
0.185,20013,23263,1186,0.5920542739031871,-16125.150095566427,-8544.263183056977,-214.0479621466556,28.04,30.79
0.1875,18788,22920,1312,0.6000550073343113,-15913.68481520043,-12055.032618447032,-220.3095923662301,28.04,30.79
0.19,19615,22657,1372,0.6080557407654353,-16156.588542346193,-15808.506794108871,-200.18704022420224,28.04,30.79
0.1925,19258,22473,1296,0.6160564741965595,-16896.61652770718,-19472.34747454646,-170.0496643814023,28.04,30.79
