Time (s),PPG_Red,PPG_IR,ECG_Raw,Resample Time (s),PPG_Red_Clean,PPG_IR_Clean,ECG_Clean,Suhu Obj,Suhu Amb
0.0,76227,99702,550,0.0,488.759533080065,131.5341553450063,-343.15309801217677,31.98,28.58
0.0025,76190,99694,665,0.00800073343112415,1150.1567449059958,298.42851599396283,-145.62915459463989,31.98,28.58
0.005,76218,99693,1341,0.0160014668622483,1691.7346862737527,435.3124753621657,11.239504762019408,31.98,28.58
0.0075,76194,99692,1841,0.02400220029337245,2113.493357183336,542.1860334496148,127.45288005780111,31.98,28.58
0.01,76166,99692,2092,0.0320029337244966,2415.4327576347455,619.0491902563103,203.01097129270534,31.98,28.58
0.0125,76099,99691,1894,0.040003667155620745,2597.5528876279864,665.9019457822536,237.91377846673277,31.98,28.58
0.015,76207,99686,1380,0.0480044005867449,2487.3215164422895,640.6534389801049,107.53682628535331,31.98,28.58
0.0175,76137,99704,968,0.05600513401786905,2340.6588108582396,605.448100027912,55.875971882066466,31.98,28.58
0.02,76050,99704,651,0.0640058674489932,2217.9555625331946,575.0746089685886,25.541204703181986,31.98,28.58
0.0225,76089,99703,827,0.07200660088011734,2134.179547092779,553.7318785421141,-31.431166857685422,31.98,28.58
0.025,76250,99702,1491,0.08000733431124149,2079.729787510394,540.0164192091713,-65.6756528912619,31.98,28.58
0.0275,76214,99691,1880,0.08800806774236565,2039.1433793819606,530.8917207281485,-51.142647117969034,31.98,28.58
0.03,76094,99689,2136,0.0960088011734898,2000.7882014224695,523.6811453343196,-43.053436026307196,31.98,28.58
0.0325,76103,99690,2042,0.10400953460461394,1959.084328729382,516.7388314715317,-81.12669559770413,31.98,28.58
0.035,76128,99673,1444,0.1120102680357381,1913.1631540991025,509.3134919489046,-87.08768220355688,31.98,28.58
0.0375,76169,99689,1090,0.12001100146686225,1865.2210996108315,501.14178251989506,68.21347651655024,31.98,28.58
0.04,76085,99698,756,0.1280117348979864,1818.7350794022623,492.1861886226427,402.30857877342356,31.98,28.58
0.0425,76182,99685,880,0.13601246832911054,1776.0975690705818,482.55066421859294,787.8812035321425,31.98,28.58
0.045,76235,99679,1440,0.1440132017602347,1736.907964538052,472.38964360764305,1062.2329844305195,31.98,28.58
0.0475,76198,99693,1845,0.15201393519135883,1698.2892491222697,461.81826360498604,1147.5583155659097,31.98,28.58
0.05,76129,99677,1916,0.16001466862248298,1656.9404880198385,450.9451526637688,1062.0121931849148,31.98,28.58
0.0525,76162,99696,1697,0.16801540205360715,1611.3159054926823,439.9723862817517,829.0684861091597,31.98,28.58
0.055,76248,99695,1137,0.1760161354847313,1562.364940222365,429.231016721599,448.36131460511956,31.98,28.58
0.0575,76151,99691,846,0.18401686891585545,1512.569945946851,419.115715067414,-16.97559160874148,31.98,28.58
0.06,76146,99672,558,0.1920176023469796,1464.6279602314403,409.9415300843039,-400.36028375207286,31.98,28.58
0.0625,76222,99684,604,0.20001833577810374,1420.831420367901,401.79411590823145,-561.2290958974577,31.98,28.58
0.065,76252,99686,1274,0.20801906920922789,1382.653297886828,394.47550769930825,-521.1141653055756,31.98,28.58
0.0675,76221,99680,1702,0.21601980264035203,1350.3754090182576,387.54873814550353,-407.3263918117344,31.98,28.58
0.07,76115,99691,1919,0.2240205360714762,1323.0930254630546,380.39328562181174,-306.9953601149439,31.98,28.58
0.0725,76176,99682,1722,0.23202126950260035,1298.9189053280693,372.3020758541205,-229.33389362932957,31.98,28.58
0.075,76268,99685,1144,0.2400220029337245,1275.6863265238585,362.72154111538765,-166.39567349045888,31.98,28.58
0.0775,76241,99683,860,0.24802273636484864,1252.1208015508578,351.50477810306904,-118.28935078580636,31.98,28.58
0.08,76244,99686,539,0.2560234697959728,1228.1655599036346,338.9486145686579,-75.99496084595307,31.98,28.58
0.0825,76009,99694,555,0.26402420322709697,1203.9089169581212,325.6630934510706,-33.348956254590775,31.98,28.58
0.085,76227,99683,1199,0.2720249366582211,1178.6232027751348,312.433426982912,6.7871047751749725,31.98,28.58
0.08750000000000001,76159,99674,1642,0.28002567008934526,1151.186667521656,300.05983418111737,46.975666599065335,31.98,28.58
0.09,76074,99676,1916,0.2880264035204694,1120.854633858374,289.15971947053714,88.18780315439733,31.98,28.58
0.0925,76140,99679,1716,0.29602713695159355,1087.4144277178248,280.03550939854483,125.73723566117812,31.98,28.58
0.095,76057,99680,1086,0.30402787038271767,1051.21250372505,272.6357248405479,162.4031913885513,31.98,28.58
0.0975,76154,99681,752,0.31202860381384184,1013.3691920016456,266.5489565749575,204.98112990321573,31.98,28.58
0.1,76020,99678,460,0.32002933724496596,975.9866432956817,261.0615809527533,249.75381090139155,31.98,28.58
0.10250000000000001,76232,99669,628,0.32803007067609014,941.548833748659,255.3184638148635,292.8618825433347,31.98,28.58
0.105,76177,99675,1197,0.3360308041072143,911.1323915893129,248.53164349398548,342.8927960988535,31.98,28.58
0.1075,76218,99673,1690,0.34403153753833843,883.0002935489788,240.1868275874071,403.83038103715296,31.98,28.58
0.11,76220,99678,1936,0.3520322709694626,853.3505713155578,230.19484188686033,466.24288957493263,31.98,28.58
0.1125,76199,99673,1588,0.3600330044005867,818.5381222144226,218.89824472172114,517.061800592584,31.98,28.58
0.115,76269,99666,1202,0.3680337378317109,776.6528822873177,206.92708542002742,542.4692291067087,31.98,28.58
0.11750000000000001,76303,99653,841,0.376034471262835,728.1492885206383,195.03999906756513,530.4544750205433,31.98,28.58
0.12,76235,99666,656,0.3840352046939592,676.2964892521625,184.02160668180267,473.80747776149445,31.98,28.58
