Time (s),PPG_Red,PPG_IR,ECG_Raw,Resample Time (s),PPG_Red_Clean,PPG_IR_Clean,ECG_Clean,Suhu Obj,Suhu Amb
0.0,88740,107068,18,0.0,-243.48588925938634,-710.6601187102895,736.1823211031203,31.01,27.82
0.0025,88661,107062,3630,0.00800073343112415,-980.4095783215157,-1789.452037275868,447.1900021476705,31.01,27.82
0.005,88539,107055,4095,0.0160014668622483,-1551.3235446116773,-2659.7998890106965,205.7623801709732,31.01,27.82
0.0075,88412,107085,4095,0.02400220029337245,-1956.2277881298712,-3321.703673914776,11.899455173028628,31.01,27.82
0.01,88353,107011,4095,0.0320029337244966,-2195.122308876098,-3775.163391988105,-134.39877284616352,31.01,27.82
0.0125,88080,106860,674,0.040003667155620745,-2268.0071068503635,-4020.179043230697,-233.13230388660483,31.01,27.82
0.015,88339,106874,198,0.0480044005867449,-1908.3520527286591,-3741.1568098292228,-206.52697819877358,31.01,27.82
0.0175,88314,106859,33,0.05600513401786905,-1509.3388400313474,-3404.989974528602,-169.89677636732782,31.01,27.82
0.02,88197,106796,12,0.0640058674489932,-1165.2720714330937,-3121.3254461570887,-157.598191896326,31.01,27.82
0.0225,88033,106759,3669,0.07200660088011734,-904.5345150868136,-2920.088166761466,-157.79069098345718,31.01,27.82
0.025,87894,106724,4095,0.08000733431124149,-720.4109168837058,-2789.1668557378534,-154.41870496696774,31.01,27.82
0.0275,87767,106633,4095,0.08800806774236565,-596.3328412324158,-2705.2823819847304,-151.00773851333628,31.01,27.82
0.03,87698,106580,2164,0.0960088011734898,-517.0025076094548,-2648.758505278055,-148.49320192367506,31.01,27.82
0.0325,87610,106550,634,0.10400953460461394,-471.074390178442,-2607.263550220793,-148.42522927941167,31.01,27.82
0.035,87554,106505,105,0.1120102680357381,-451.03575928272943,-2574.3295583751915,-146.70377333870402,31.01,27.82
0.0375,87476,106473,36,0.12001100146686225,-451.8071097452497,-2546.6628469526913,-141.97213163049608,31.01,27.82
0.04,87406,106448,92,0.1280117348979864,-468.5696980195461,-2522.088428544157,-139.24384721644452,31.01,27.82
0.0425,87406,106454,3686,0.13601246832911054,-495.48777800086566,-2498.610697994106,-139.09971587559835,31.01,27.82
0.045,87363,106408,4095,0.1440132017602347,-525.8654735697238,-2474.3105913036698,-140.73682210924122,31.01,27.82
0.0475,87335,106366,4095,0.15201393519135883,-553.0460314795912,-2447.6863947773586,-139.85760174456885,31.01,27.82
0.05,87324,106353,2065,0.16001466862248298,-571.7545407553511,-2418.0308613613315,-138.48274792913764,31.01,27.82
0.0525,87236,106275,625,0.16801540205360715,-579.8318621850667,-2385.4773534546684,-139.20201304825025,31.01,27.82
0.055,87152,106240,101,0.1760161354847313,-578.9936744805034,-2350.76635284607,-138.66446014635048,31.01,27.82
0.0575,86976,106214,35,0.18401686891585545,-573.3822383935772,-2315.0011569411063,-138.9016534055313,31.01,27.82
0.06,86846,106210,125,0.1920176023469796,-567.5836345255766,-2279.3962182555256,-137.22661271070143,31.01,27.82
0.0625,86637,106182,3720,0.20001833577810374,-565.8863747767846,-2244.933095710566,-132.64292190612323,31.01,27.82
0.065,86586,106162,4095,0.20801906920922789,-571.9828054904402,-2211.966563199539,-129.73827306463576,31.01,27.82
0.0675,86593,106147,4095,0.21601980264035203,-587.9394364024714,-2180.0525716598795,-127.80678000416276,31.01,27.82
0.07,86705,106171,2056,0.2240205360714762,-612.8440622244129,-2148.263721520052,-124.72657748050142,31.01,27.82
0.0725,86662,106124,604,0.23202126950260035,-642.5936335602064,-2115.730480643436,-119.39764358231244,31.01,27.82
0.075,86622,106076,100,0.2400220029337245,-671.5333536586197,-2081.913897133154,-118.55983009671505,31.01,27.82
0.0775,86586,106070,34,0.24802273636484864,-694.8271191174774,-2046.6150950421475,-118.70011457427549,31.01,27.82
0.08,86594,106071,166,0.2560234697959728,-709.4801508197977,-2010.0826023702912,-105.14428644861519,31.01,27.82
0.0825,86510,106032,3754,0.26402420322709697,-714.0403081715809,-1973.0595741222826,-93.8024447277447,31.01,27.82
0.085,86521,106059,4095,0.2720249366582211,-708.7400894085058,-1936.3602599923165,-105.93582685027741,31.01,27.82
0.08750000000000001,86475,106050,4095,0.28002567008934526,-695.5153398632405,-1900.319763681256,-121.33302736890971,31.01,27.82
0.09,86463,106034,2018,0.2880264035204694,-676.7696149489425,-1864.6387418205964,-111.86028088899407,31.01,27.82
0.0925,86489,106023,592,0.29602713695159355,-654.0427401443519,-1828.585546321332,-84.03900623407915,31.01,27.82
0.095,86485,106032,98,0.30402787038271767,-627.7743631598662,-1791.3718870523237,-53.5486959993753,31.01,27.82
0.0975,86413,106042,34,0.31202860381384184,-597.9692715138949,-1752.507308143394,-20.937223359540383,31.01,27.82
0.1,86355,106032,234,0.32002933724496596,-564.9084743827177,-1711.911582155087,11.144079500606408,31.01,27.82
0.10250000000000001,86333,106023,3820,0.32803007067609014,-529.332270504238,-1669.8116896111214,45.14459796807007,31.01,27.82
0.105,86349,106030,4095,0.3360308041072143,-492.23787066693075,-1626.612569673916,81.28116724265536,31.01,27.82
0.1075,86381,106024,4095,0.34403153753833843,-454.65669689416535,-1582.7766958822403,96.44359932279554,31.01,27.82
0.11,86401,106046,1996,0.3520322709694626,-417.5730906443937,-1538.7226003566134,83.9393536646642,31.01,27.82
0.1125,86397,106033,586,0.3600330044005867,-381.9802646512502,-1494.9002439875662,69.57561563383318,31.01,27.82
0.115,86414,106055,68,0.3680337378317109,-349.0170741843927,-1452.0131954892058,72.37866741004909,31.01,27.82
0.11750000000000001,86419,106060,34,0.376034471262835,-320.04526939311506,-1411.0607491140133,91.86975276846248,31.01,27.82
0.12,86429,106076,269,0.3840352046939592,-296.56990428684855,-1373.0272953116814,110.946928774568,31.01,27.82
0.1225,86450,106078,3845,0.39203593812508336,-280.02080119343964,-1338.4535099413747,103.08278271379065,31.01,27.82
0.125,86445,106091,4095,0.4000366715562075,-271.32943151747725,-1307.2033925163648,71.38593026160348,31.01,27.82
0.1275,86438,106113,4095,0.40803740498733165,-270.3748557167565,-1278.4684689236778,47.67043320396105,31.01,27.82
0.13,86465,106125,1930,0.41603813841845577,-275.7698800755645,-1250.9485758517772,34.636337609561934,31.01,27.82
0.1325,86486,106143,566,0.42403887184957995,-285.5402379704777,-1223.2552791790583,14.166201605735843,31.01,27.82
0.135,86554,106168,93,0.43203960528070406,-298.49622564786876,-1194.4681006301776,-13.1227405024378,31.01,27.82
0.1375,86624,106182,30,0.44004033871182824,-314.90740054583415,-1164.5863762258916,-39.54410094493299,31.01,27.82
0.14,86670,106163,352,0.4480410721429524,-335.7525629618603,-1134.6872981509143,-52.48353043822384,31.01,27.82
0.14250000000000002,86707,106170,3882,0.45604180557407653,-361.7297057401628,-1106.6886319780347,-44.32260060154324,31.01,27.82
0.145,86739,106161,4095,0.4640425390052007,-393.0353596293678,-1082.6861376661134,-39.37550829187307,31.01,27.82
0.1475,86757,106172,4095,0.4720432724363248,-429.52001880087994,-1064.1525560633495,-59.81038362347038,31.01,27.82
0.15,86729,106197,1912,0.480044005867449,-470.6037057795444,-1051.4949611666345,-82.80094433986872,31.01,27.82
0.1525,86715,106194,562,0.4880447392985731,-514.979725688494,-1044.100591512534,-81.66287884468478,31.01,27.82
0.155,86709,106224,92,0.4960454727296973,-560.5495744207956,-1040.589115508775,-72.14507795275122,31.01,27.82
0.1575,86704,106225,33,0.5040462061608214,-604.9857402447376,-1039.1508018964212,-73.32365668804246,31.01,27.82
0.16,86733,106228,405,0.5120469395919456,-646.6285636856257,-1038.020429754466,-77.37527788336612,31.01,27.82
0.1625,86744,106238,3900,0.5200476730230698,-684.6025084138203,-1035.8580257245148,-78.14813155518053,31.01,27.82
0.165,86775,106252,4095,0.5280484064541939,-718.111796212895,-1031.7574961728956,-77.84103460283305,31.01,27.82
0.1675,86799,106233,4095,0.536049139885318,-746.2383944743599,-1025.0398738167114,-78.41909450373352,31.01,27.82
0.17,86820,106230,1893,0.5440498733164422,-768.4350396204939,-1015.1339314466438,-83.4795236904832,31.01,27.82
0.17250000000000001,86844,106260,304,0.5520506067475663,-784.8636254756448,-1001.5693153470874,-91.77637738785718,31.01,27.82
0.17500000000000002,86860,106267,95,0.5600513401786905,-796.3834466332762,-984.0812675045325,-94.77472074614889,31.01,27.82
0.1775,86886,106277,25,0.5680520736098146,-804.3601822081255,-962.8395147835092,-87.93463913248212,31.01,27.82
0.18,86891,106268,479,0.5760528070409388,-810.2985811415424,-938.5052059265244,-78.6754745052148,31.01,27.82
0.1825,86906,106275,4095,0.5840535404720629,-815.4699242731225,-911.9491832481186,-72.11664707264497,31.01,27.82
0.185,86927,106273,4095,0.5920542739031871,-820.8394554000429,-883.9580363513287,-65.64769198445498,31.01,27.82
0.1875,86947,106291,4095,0.6000550073343113,-827.2550124658028,-855.076003802797,-60.58470093773768,31.01,27.82
0.19,86950,106294,1843,0.6080557407654353,-835.6132045455585,-825.4437435053084,-57.7419810256863,31.01,27.82
0.1925,86935,106297,297,0.6160564741965595,-846.8781181868919,-794.827245345608,-59.178905648363056,31.01,27.82
0.195,86904,106307,91,0.6240572076276837,-861.8980807868627,-762.947128953648,-68.45059329722415,31.01,27.82
0.1975,86894,106296,24,0.6320579410588079,-880.9933892127013,-729.640675317102,-78.57173419741004,31.01,27.82
0.2,86837,106367,541,0.6400586744899319,-903.4923221251654,-694.5890921637192,-80.6918442975909,31.01,27.82
0.2025,86785,106336,4095,0.6480594079210561,-927.4914752427037,-656.9953368655538,-78.14884717728009,31.01,27.82
0.20500000000000002,86843,106302,4095,0.6560601413521803,-950.0781725808815,-615.6658935900265,-81.9174767544341,31.01,27.82
0.20750000000000002,87125,106314,4095,0.6640608747833044,-968.0987502053113,-569.6546924426393,-87.57870772139773,31.01,27.82
0.21,87246,106296,1824,0.6720616082144286,-979.2186253290045,-519.2575814975387,-83.00635002051246,31.01,27.82
0.2125,87228,106281,287,0.6800623416455527,-982.7820531377979,-466.7065859240587,-85.19845548131033,31.01,27.82
0.215,87124,106356,83,0.6880630750766769,-980.1008754088961,-416.00792895998467,-107.5522763163462,31.01,27.82
0.2175,86910,106356,18,0.696063808507801,-974.1123305788178,-372.0156581556562,-117.67527867920329,31.01,27.82
0.22,86829,106353,605,0.7040645419389252,-968.4948186595074,-339.1046661499842,-90.80851357928081,31.01,27.82
0.2225,87001,106372,4095,0.7120652753700494,-966.4046376516017,-319.681469309146,-49.458546544328875,31.01,27.82
0.225,87113,106379,4095,0.7200660088011734,-969.2450252373231,-312.9561228819491,-13.723578376893919,31.01,27.82
0.2275,87209,106384,4095,0.7280667422322976,-976.0684695020038,-314.733272116103,20.746617044299697,31.01,27.82
0.23,87186,106378,1802,0.7360674756634218,-983.9894863912557,-318.67410698178725,51.65168670583151,31.01,27.82
0.2325,87157,106373,288,0.744068209094546,-989.3887451301459,-318.52049165360836,76.74737365437738,31.01,27.82
0.23500000000000001,87198,106390,89,0.75206894252567,-989.2381202217496,-310.1474716655277,94.43342665563974,31.01,27.82
0.23750000000000002,87237,106408,23,0.7600696759567942,-981.9727044309234,-292.55341082179126,86.51986025824408,31.01,27.82
0.24,87278,106422,715,0.7680704093879184,-967.6914770367665,-267.53573104633756,58.43694326126533,31.01,27.82
0.2425,87334,106415,4095,0.7760711428190425,-947.703109499621,-238.33859007571857,48.29027041854127,31.01,27.82
0.245,87347,106421,4095,0.7840718762501667,-923.6368134785132,-207.92978253485222,61.01641203763231,31.01,27.82
0.2475,87366,106401,4095,0.7920726096812908,-896.5831283278983,-177.74363578353547,66.78553338734406,31.01,27.82
0.25,87380,106409,1812,0.800073343112415,-866.7752309981106,-147.48487741031633,62.61105878912665,31.01,27.82
0.2525,87374,106397,290,0.8080740765435391,-833.9811566569879,-115.92951939924404,63.588704227658624,31.01,27.82
0.255,87387,106399,89,0.8160748099746633,-798.255613374185,-82.08799694474293,65.3142209731125,31.01,27.82
0.2575,87380,106403,23,0.8240755434057874,-760.4753110339748,-46.047642488355976,64.52712242526027,31.01,27.82
0.26,87389,106407,766,0.8320762768369115,-722.3091212415679,-9.158664179515156,68.68394602601305,31.01,27.82
0.2625,87386,106404,4095,0.8400770102680357,-685.6558143235343,26.424385467923486,76.51982772417365,31.01,27.82
0.265,87397,106426,4095,0.8480777436991599,-651.8525157074926,58.64099551293904,79.52494505971461,31.01,27.82
0.2675,87410,106411,4095,0.8560784771302841,-620.9890020149795,86.5500931161726,72.7196444570278,31.01,27.82
0.27,87426,106418,1756,0.8640792105614081,-591.554213940387,111.08235117201959,59.03944676373651,31.01,27.82
0.2725,87437,106422,280,0.8720799439925323,-560.6661675959176,135.10203931409842,42.12477191712921,31.01,27.82
0.275,87429,106447,85,0.8800806774236565,-525.0761273653011,162.56051181110746,24.121731613563284,31.01,27.82
0.2775,87437,106440,23,0.8880814108547807,-482.5797318929059,197.00735799304698,6.354220926858372,31.01,27.82
0.28,87453,106436,848,0.8960821442859048,-432.9818694953351,240.15900479617767,-12.671406533678276,31.01,27.82
0.28250000000000003,87461,106432,4095,0.9040828777170289,-378.1608037729056,291.1593706097375,-21.079733025279978,31.01,27.82
0.28500000000000003,87471,106430,4095,0.9120836111481531,-321.43930801470475,346.8255151281934,-14.918188949560715,31.01,27.82
0.28750000000000003,87472,106417,4095,0.9200843445792772,-266.5492907029933,402.822802490001,-22.80185403127183,31.01,27.82
0.29,87487,106452,1741,0.9280850780104014,-216.46186435067392,455.20377271031356,-34.99300007293327,31.01,27.82
0.2925,87498,106449,278,0.9360858114415255,-172.54027046195552,501.53395854613757,-2.006421341926652,31.01,27.82
0.295,87506,106461,85,0.9440865448726496,-134.35114081351645,541.2725853368261,36.26015762244593,31.01,27.82
0.2975,87514,106458,20,0.9520872783037738,-100.18822406922496,575.4209154149966,-5.353467467187339,31.01,27.82
0.3,87507,106454,901,0.960088011734898,-68.26186142917665,605.3996974368222,-87.48122556935776,31.01,27.82
0.3025,87519,106461,4095,0.9680887451660222,-37.99979859062027,631.5725331236193,-121.44190200319636,31.01,27.82
0.305,87519,106447,4095,0.9760894785971462,-9.893097815156256,653.0812034398364,-114.75316625275977,31.01,27.82
0.3075,87520,106454,4095,0.9840902120282704,16.602595807824684,669.8240557547582,-101.56102126536052,31.01,27.82
0.31,87515,106448,918,0.9920909454593946,44.418741607712505,684.005341289831,-86.29739610719471,31.01,27.82
0.3125,87507,106452,271,1.0000916788905188,77.54569329380253,699.1654398400092,-71.21612844212446,31.01,27.82
0.315,87513,106436,48,1.0080924123216428,118.98229212043239,718.4408158332996,-28.911324090984593,31.01,27.82
0.3175,87510,106436,22,1.016093145752767,169.85151874891534,743.7646855083012,51.365332800623605,31.01,27.82
0.32,87505,106440,2977,1.0240938791838912,229.34083930271578,775.6178833666117,90.91470131046708,31.01,27.82
0.3225,87507,106444,4095,1.0320946126150152,294.8682545532382,812.7566058892874,45.315099641156735,31.01,27.82
