Time (s),PPG_Red,PPG_IR,ECG_Raw,Resample Time (s),PPG_Red_Clean,PPG_IR_Clean,ECG_Clean,Suhu Obj,Suhu Amb
0.0,98631,125184,798,0.0,-1568.5818920452589,286.6317562133447,462.2341839295695,29.38,24.3
0.0025,100656,126201,3744,0.00800073343112415,-6301.10132984417,-1020.6578076615806,269.90228023190514,29.38,24.3
0.005,98499,125572,4095,0.0160014668622483,-9968.455742700584,-1857.6901255086284,109.19841613461034,29.38,24.3
0.0075,97047,125139,4095,0.02400220029337245,-12570.645130614497,-2224.4651973277996,-19.877408362315066,29.38,24.3
0.01,97792,126235,3620,0.0320029337244966,-14107.669493585914,-2120.9830231190926,-117.3251932588708,29.38,24.3
0.0125,98106,125886,1034,0.040003667155620745,-14579.528831614869,-1547.2436028825148,-183.144938555058,29.38,24.3
0.015,99654,126496,168,0.0480044005867449,-14671.481457731321,-788.5384272562231,-94.53570598856027,29.38,24.3
0.0175,100603,127067,54,0.05600513401786905,-13087.66557188348,701.2469656809083,-93.89170028655658,29.38,24.3
0.02,101357,127276,787,0.0640058674489932,-9619.159411774184,3076.5453714585046,-135.12189695082742,29.38,24.3
0.0225,101461,127056,3728,0.07200660088011734,-4524.8665164630875,6257.242516515384,-140.9120136710435,29.38,24.3
0.025,101112,126534,4095,0.08000733431124149,1425.6056753247733,9867.734275142353,-151.0542806565448,29.38,24.3
0.0275,101676,126481,4095,0.08800806774236565,7193.525104047396,13351.403139301425,-204.1987799996284,29.38,24.3
0.03,101858,125768,3676,0.0960088011734898,11888.721045971874,16201.23335175194,-257.9592515986819,29.38,24.3
0.0325,102271,125033,1050,0.10400953460461394,15049.704340673565,18120.224127440233,-280.50507542796845,29.38,24.3
0.035,102778,124587,173,0.1120102680357381,16662.077280060235,19044.15717167425,-263.6806021473053,29.38,24.3
0.0375,103040,124418,56,0.12001100146686225,17069.42535326576,19125.911325776353,-233.82175090166402,29.38,24.3
0.04,103355,124236,968,0.1280117348979864,16845.02427608465,18703.09410008544,-245.48091753672995,29.38,24.3
0.0425,103635,123859,3821,0.13601246832911054,16577.462410450036,18179.982588922572,-280.39178885926276,29.38,24.3
0.045,103901,123480,4095,0.1440132017602347,16623.24119880385,17842.935909026564,-270.5004561169989,29.38,24.3
0.0475,104057,123142,4095,0.15201393519135883,16972.477277384907,17735.304701487526,-230.10309525192235,29.38,24.3
0.05,104309,122996,3726,0.16001466862248298,17331.46498353121,17693.769080388272,-229.2178858318845,29.38,24.3
0.0525,104458,122847,1062,0.16801540205360715,17394.086857741873,17526.585254892554,-251.22543682719504,29.38,24.3
0.055,104257,122570,168,0.1760161354847313,17082.78677326221,17176.79973879217,-236.74122860960026,29.38,24.3
0.0575,103943,122191,53,0.18401686891585545,16530.347311096324,16717.737170963166,-206.90946162274824,29.38,24.3
0.06,103459,121858,832,0.1920176023469796,15900.747507383065,16242.9348020828,-194.75226496075214,29.38,24.3
0.0625,102977,121586,3760,0.20001833577810374,15292.364105219895,15806.247623626978,-180.54149202864858,29.38,24.3
0.065,102211,121349,4095,0.20801906920922789,14745.556515450866,15427.306785644916,-153.4266035503651,29.38,24.3
0.0675,101198,121117,4095,0.21601980264035203,14267.483513587937,15106.393500074453,-131.15890761833944,29.38,24.3
0.07,99972,120807,3860,0.2240205360714762,13848.046310908718,14831.32593019233,-120.43836537668663,29.38,24.3
0.0725,98283,120327,1099,0.23202126950260035,13469.56220994969,14579.88629454105,-113.4021575938978,29.38,24.3
0.075,95830,119409,176,0.2400220029337245,13112.6686839405,14322.79558303002,-111.99605932106802,29.38,24.3
0.0775,93129,118204,34,0.24802273636484864,12759.60046371499,14029.026056381135,-114.81011592957819,29.38,24.3
0.08,90364,116468,589,0.2560234697959728,12395.125921998831,13671.205869418385,-124.37898168095117,29.38,24.3
0.0825,86803,114249,4095,0.26402420322709697,12006.70570863189,13228.97330186257,-157.50796829081412,29.38,24.3
0.085,82870,112062,4095,0.2720249366582211,11585.387592177834,12690.817613996998,-193.31689115335402,29.38,24.3
