Time (s),PPG_Red,PPG_IR,ECG_Raw,Resample Time (s),PPG_Red_Clean,PPG_IR_Clean,ECG_Clean,Suhu Obj,Suhu Amb
0.0,683,580,949,0.0,1552.6752333281704,8862.606797950366,-230.74613213707178,23.7,27.75
0.0025,660,585,951,0.00800073343112415,12451.253903411813,24848.79366059754,-194.9879038384509,23.7,27.75
0.005,650,605,971,0.0160014668622483,21380.377306960414,37963.75345674707,-162.49353934393415,23.7,27.75
0.0075,630,603,1025,0.02400220029337245,28340.045443973977,48207.48618639897,-133.26303865352148,23.7,27.75
0.01,639,589,1101,0.0320029337244966,33330.258314452505,55579.99184955322,-107.29640176721293,23.7,27.75
0.0125,621,588,1130,0.040003667155620745,36351.01591839608,60081.27044620998,-84.5936286850087,23.7,27.75
0.015,660,605,1131,0.0480044005867449,34612.068348151646,57683.236312601424,-61.68961286969466,23.7,27.75
0.0175,635,602,1125,0.05600513401786905,32238.44045563216,54339.877922984975,-48.477796739716894,23.7,27.75
0.02,624,587,1084,0.0640058674489932,30204.269398628672,51458.59898127591,-39.84633737562578,23.7,27.75
0.0225,625,594,1078,0.07200660088011734,28774.232757460988,49422.32602323219,-30.589444166008594,23.7,27.75
0.025,664,590,1121,0.08000733431124149,27838.25664159631,48073.14357666779,-20.621480263036144,23.7,27.75
0.0275,633,592,1157,0.08800806774236565,27186.839304444184,47109.5779784915,-11.794784066853383,23.7,27.75
0.03,648,576,1200,0.0960088011734898,26646.94288271264,46282.782942143414,-4.151531810663288,23.7,27.75
0.0325,633,584,1200,0.10400953460461394,26120.042628237592,45451.66683179814,4.4599672105885215,23.7,27.75
0.035,662,593,1179,0.1120102680357381,25569.88773155547,44565.161898626175,14.468049081720844,23.7,27.75
0.0375,650,594,1164,0.12001100146686225,24996.296029173063,43623.99371618558,22.079680728847052,23.7,27.75
0.04,659,592,1161,0.1280117348979864,24412.87307228842,42648.11745905415,24.26252177012701,23.7,27.75
0.0425,639,598,1150,0.13601246832911054,23833.86286422916,41657.776105605975,23.346286278354267,23.7,27.75
0.045,645,599,1176,0.1440132017602347,23268.82900161556,40666.382246302324,23.241404656234355,23.7,27.75
0.0475,647,596,1201,0.15201393519135883,22722.190742129846,39680.41248842525,24.90353942964405,23.7,27.75
0.05,643,576,1190,0.16001466862248298,22194.811399147835,38701.78290672799,26.91114254667182,23.7,27.75
0.0525,637,577,1219,0.16801540205360715,21685.825110590624,37730.24244640929,28.219530211157263,23.7,27.75
0.055,639,585,1237,0.1760161354847313,21193.906782310056,36765.05972362156,29.608417547023958,23.7,27.75
0.0575,650,589,1214,0.18401686891585545,20717.870746615114,35805.84002276795,31.396811459085193,23.7,27.75
0.06,636,582,1234,0.1920176023469796,20256.88612647423,34852.57053261557,31.982534842042124,23.7,27.75
0.0625,651,591,1201,0.20001833577810374,19810.745794869068,33905.44954182696,30.42579644976319,23.7,27.75
0.065,653,603,1209,0.20801906920922789,19380.342662358613,32964.802974762526,27.058197048701537,23.7,27.75
0.0675,653,608,1232,0.21601980264035203,18968.099553190827,32030.96900871947,21.988233571906495,23.7,27.75
0.07,652,595,1279,0.2240205360714762,18577.805702174217,31104.231465460507,16.17930440320807,23.7,27.75
0.0725,655,598,1304,0.23202126950260035,18213.143953724193,30184.925824170874,11.428781214367161,23.7,27.75
0.075,670,604,1257,0.2400220029337245,17874.16540491308,29273.507436365002,8.013604980880723,23.7,27.75
0.0775,657,597,1213,0.24802273636484864,17552.20533059933,28370.502096523604,6.338810539558657,23.7,27.75
0.08,671,595,1205,0.2560234697959728,17226.67637792864,27476.47901356348,8.487325590256146,23.7,27.75
0.0825,649,565,1200,0.26402420322709697,16867.537857550225,26591.968726386076,14.417154699963692,23.7,27.75
0.085,655,586,1224,0.2720249366582211,16442.836591936557,25717.278614265633,22.771720658084483,23.7,27.75
0.08750000000000001,665,598,1244,0.28002567008934526,15927.299366582527,24852.429330778592,34.69312910892626,23.7,27.75
0.09,643,589,1256,0.2880264035204694,15308.756474541016,23997.223334030274,49.576460461109534,23.7,27.75
0.0925,636,588,1286,0.29602713695159355,14591.146874057562,23151.277247272115,62.693089243991096,23.7,27.75
0.095,635,602,1286,0.30402787038271767,13793.803560203669,22314.15508038185,69.55980570987711,23.7,27.75
0.0975,630,605,1256,0.31202860381384184,12946.923618517467,21485.69544664324,66.07554940634785,23.7,27.75
0.1,649,587,1241,0.32002933724496596,12083.631902494924,20666.210641262012,49.338287171295875,23.7,27.75
0.10250000000000001,651,592,1215,0.32803007067609014,11230.997560158074,19856.408388020558,23.14374193822082,23.7,27.75
0.105,654,603,1226,0.3360308041072143,10404.581833889028,19057.257743364495,-4.957128050500055,23.7,27.75
0.1075,647,603,1288,0.34403153753833843,9609.17575056764,18269.820820340858,-31.238888101253146,23.7,27.75
0.11,619,587,1332,0.3520322709694626,8843.267216454942,17494.954387039503,-52.92284667953902,23.7,27.75
0.1125,629,589,1326,0.3600330044005867,8103.209514633082,16733.082412950538,-65.74856818563588,23.7,27.75
0.115,669,590,1300,0.3680337378317109,7385.412839410346,15984.170100513034,-69.83600080532578,23.7,27.75
0.11750000000000001,658,595,1274,0.376034471262835,6687.0539240057915,15247.740433200524,-66.33609567233941,23.7,27.75
0.12,638,579,1247,0.3840352046939592,6006.475404598687,14522.979073647046,-55.059497535134845,23.7,27.75
0.1225,660,564,1250,0.39203593812508336,5343.658545574043,13809.080292536535,-51.592961275334126,23.7,27.75
0.125,633,606,1276,0.4000366715562075,4700.218516340584,13105.586324388385,-82.17167361590123,23.7,27.75
0.1275,634,620,1313,0.40803740498733165,4078.6595516421144,12412.472354124044,-130.57992983534967,23.7,27.75
0.13,659,593,1331,0.41603813841845577,3481.3349442064246,11730.143647217516,-113.31744209459981,23.7,27.75
0.1325,630,596,1337,0.42403887184957995,2909.7834962031893,11059.433043888208,42.35424238815325,23.7,27.75
0.135,654,597,1252,0.43203960528070406,2364.80978103539,10401.43436494887,287.99046083003,23.7,27.75
0.1375,655,571,1244,0.44004033871182824,1846.9421819958454,9757.234314230638,473.28316338552276,23.7,27.75
0.14,636,582,1252,0.4480410721429524,1356.6334453207398,9127.763036050063,499.69654756481066,23.7,27.75
0.14250000000000002,651,591,1262,0.45604180557407653,894.1910880838784,8513.732350508199,397.92009524604657,23.7,27.75
0.145,653,603,1258,0.4640425390052007,459.8317495769967,7915.614822860991,235.31561939183024,23.7,27.75
0.1475,675,587,1262,0.4720432724363248,53.99125393917029,7333.798931816742,26.527296057085273,23.7,27.75
0.15,630,573,1303,0.480044005867449,-322.29887167141806,6768.80238516908,-222.2071672590573,23.7,27.75
0.1525,644,591,1302,0.4880447392985731,-667.467575283232,6221.229599206121,-434.5369043998377,23.79,27.76
0.155,677,609,1268,0.4960454727296973,-980.1681865223727,5691.591384393741,-494.1396385128461,23.79,27.76
0.1575,660,604,1240,0.5040462061608214,-1259.8340917982223,5180.2789006378825,-369.0898761044137,23.79,27.76
0.16,654,589,1236,0.5120469395919456,-1506.1627286018893,4687.532512650464,-169.46655119947383,23.79,27.76
0.1625,636,585,1254,0.5200476730230698,-1718.4607939897428,4213.287404838632,-35.42305783228974,23.79,27.76
0.165,661,610,1263,0.5280484064541939,-1895.9142838071002,3757.204067793221,5.158336505719996,23.79,27.76
0.1675,651,585,1292,0.536049139885318,-2038.1924082452165,3318.8851531374094,13.887909061473398,23.79,27.76
0.17,650,588,1302,0.5440498733164422,-2145.462503906511,2897.9360731041497,26.631116897172596,23.79,27.76
0.17250000000000001,662,590,1316,0.5520506067475663,-2217.943943307614,2493.953450400941,33.662262947607374,23.79,27.76
0.17500000000000002,644,611,1306,0.5600513401786905,-2255.691487257689,2106.635017264519,31.046775940339877,23.79,27.76
0.1775,655,604,1294,0.5680520736098146,-2258.8898250371576,1735.7618537543465,29.87617917795032,23.79,27.76
0.18,651,592,1253,0.5760528070409388,-2228.1658186141403,1380.9875691989362,34.55875652108074,23.79,27.76
0.1825,654,600,1228,0.5840535404720629,-2164.2218454307304,1041.7554701286863,40.29641517951298,23.79,27.76
0.185,664,603,1264,0.5920542739031871,-2067.0531381865853,717.3501007475151,44.56270437939514,23.79,27.76
0.1875,656,600,1314,0.6000550073343113,-1935.7390045946706,406.9866989999399,51.02494762773512,23.79,27.76
0.19,644,583,1288,0.6080557407654353,-1768.8574800507115,110.19760977009929,63.161698332102574,23.79,27.76
0.1925,637,584,1298,0.6160564741965595,-1564.6953331761467,-172.4929547407,79.93077379205246,23.79,27.76
0.195,668,592,1304,0.6240572076276837,-1321.1336075672352,-439.10307900495957,99.26844605799971,23.79,27.76
0.1975,658,594,1242,0.6320579410588079,-1035.7687323829596,-686.1732926563047,121.2735468884382,23.79,27.76
0.2,660,589,1222,0.6400586744899319,-706.2207665930778,-909.0609338157581,146.26088993320326,23.79,27.76
0.2025,654,596,1240,0.6480594079210561,-330.53096646951724,-1102.9668309514564,172.24520390145364,23.79,27.76
0.20500000000000002,672,611,1249,0.6560601413521803,91.71534774367453,-1265.2432694579961,195.0763919203463,23.79,27.76
0.20750000000000002,669,607,1270,0.6640608747833044,558.4268980579756,-1397.4251722314089,210.24832718113822,23.79,27.76
0.21,666,593,1300,0.6720616082144286,1066.1343530638508,-1504.674424151292,215.76739208732437,23.79,27.76
0.2125,653,592,1325,0.6800623416455527,1612.3729959408984,-1593.3042200770788,212.58075893665887,23.79,27.76
0.215,659,593,1287,0.6880630750766769,2197.040785974637,-1668.4757722872478,201.2818039358698,23.79,27.76
0.2175,656,586,1270,0.696063808507801,2822.2258040404945,-1732.6618011297428,181.2322166164357,23.79,27.76
0.22,655,575,1242,0.7040645419389252,3491.458417667969,-1784.870606815772,150.97845515269177,23.79,27.76
0.2225,655,589,1223,0.7120652753700494,4209.454152554685,-1820.7917627378024,107.03247496654008,23.79,27.76
0.225,664,604,1246,0.7200660088011734,4982.100360992743,-1833.8239764847444,47.71218832040307,23.79,27.76
0.2275,667,603,1291,0.7280667422322976,5814.933934069368,-1817.2208305262216,-20.97870341222186,23.79,27.76
0.23,664,584,1299,0.7360674756634218,6709.9024728901195,-1767.1517478791006,-89.46114750802505,23.79,27.76
0.2325,661,599,1296,0.744068209094546,7663.694015767796,-1684.4255620642298,-152.96704638942072,23.79,27.76
0.23500000000000001,682,603,1258,0.75206894252567,8669.70991888134,-1573.3107509831573,-209.11483201519388,23.79,27.76
0.23750000000000002,684,603,1246,0.7600696759567942,9721.313520704716,-1439.3511190002723,-251.67935216316917,23.79,27.76
0.24,679,595,1246,0.7680704093879184,10814.453892931066,-1288.019992858267,-275.3478086060929,23.79,27.76
0.2425,649,576,1248,0.7760711428190425,11949.980932336555,-1123.7958430684794,-281.91401304437346,23.79,27.76
0.245,695,585,1256,0.7840718762501667,13134.36698632906,-949.3079348813894,-276.7847981705939,23.79,27.76
0.2475,694,591,1246,0.7920726096812908,14376.093021640936,-764.9040413979637,-264.9701797595121,23.79,27.76
0.25,685,586,1256,0.800073343112415,15676.47824675283,-568.7435691522154,-250.6817039473093,23.79,27.76
0.2525,665,588,1289,0.8080740765435391,17018.05121143436,-357.4833097268817,-235.02443394919695,23.79,27.76
0.255,695,608,1264,0.8160748099746633,18358.498019220773,-127.7177377289404,-216.37112539469257,23.79,27.76
0.2575,678,608,1232,0.8240755434057874,19635.90374332867,122.22542077492184,-195.14090464905885,23.79,27.76
0.26,674,592,1266,0.8320762768369115,20781.758893496735,390.94821846611126,-172.44858020079027,23.79,27.76
