Time (s),PPG_Red,PPG_IR,PPG_Green,ECG,Temp_Ambient,Temp_Object,SpO2_Ground_Truth
0.0000,32004,33983,88,824,25.67,23.39,88
0.0025,32006,33968,95,814,25.67,23.39,88
0.0050,32001,33954,99,1177,25.67,23.39,88
0.0075,32003,33980,76,1080,25.67,23.39,88
0.0100,32001,33994,81,1132,25.67,23.39,88
0.0125,31996,33981,68,1273,25.67,23.39,88
0.0150,31991,34001,74,1402,25.67,23.39,88
0.0175,31965,33997,96,1402,25.67,23.39,88
0.0200,31979,33967,100,717,25.67,23.39,88
0.0225,31968,33990,82,521,25.67,23.39,88
0.0250,31958,34012,62,931,25.67,23.39,88
0.0275,31978,34004,73,1180,25.67,23.39,88
0.0300,31987,33980,51,1088,25.67,23.39,88
0.0325,31997,33958,80,1221,25.67,23.39,88
0.0350,31989,33975,82,1428,25.67,23.39,88
0.0375,31990,33989,96,1280,25.67,23.39,88
0.0400,31972,34001,96,924,25.67,23.39,88
0.0425,31996,33997,71,836,25.67,23.39,88
0.0450,32004,34002,79,985,25.67,23.39,88
0.0475,32016,33980,88,1108,25.67,23.39,88
0.0500,31994,33996,80,1088,25.67,23.39,88
0.0525,31977,34020,59,1236,25.67,23.39,88
0.0550,31974,34008,89,1408,25.67,23.39,88
0.0575,31985,34006,93,1229,25.67,23.39,88
0.0600,31998,33958,103,834,25.67,23.39,88
0.0625,31986,33993,88,832,25.67,23.39,88
0.0650,31986,33996,63,1008,25.67,23.39,88
0.0675,32000,34003,56,1067,25.67,23.39,88
0.0700,32021,34005,74,1072,25.67,23.39,88
0.0725,32016,33993,81,1224,25.67,23.39,88
0.0750,31998,33988,77,1428,25.67,23.39,88
0.0775,31965,34010,76,1179,25.67,23.39,88
0.0800,31960,34024,79,790,25.67,23.39,88
0.0825,31977,34001,89,802,25.67,23.39,88
0.0850,32007,33971,93,1035,25.67,23.39,88
0.0875,31996,33972,96,1010,25.67,23.39,88
0.0900,31990,33986,75,1098,25.67,23.39,88
0.0925,31986,34003,60,1240,25.67,23.39,88
0.0950,31985,33993,74,1442,25.67,23.39,88
0.0975,31989,33998,76,1168,25.67,23.39,88
0.1000,31993,33994,87,840,25.67,23.39,88
0.1025,31996,34011,81,837,25.67,23.39,88
0.1050,31995,34030,79,1056,25.67,23.39,88
0.1075,31996,34027,74,1000,25.67,23.39,88
0.1100,32001,33989,79,1120,25.67,23.39,88
0.1125,32012,33975,99,1250,25.67,23.39,88
0.1150,32018,33996,92,1428,25.67,23.39,88
0.1175,32001,34000,68,1090,25.67,23.39,88
0.1200,32008,33998,74,853,25.67,23.39,88
0.1225,31996,34009,79,746,25.67,23.39,88
0.1250,31993,34009,76,1080,25.67,23.39,88
0.1275,31985,33999,79,1080,25.67,23.39,88
0.1300,31974,33980,112,640,25.67,23.39,88
0.1325,31977,34020,59,1433,25.67,23.39,88
0.1350,31974,34008,89,1509,25.67,23.39,88
0.1375,31987,34017,75,1378,25.67,23.39,88
0.1400,31998,33987,71,984,25.67,23.39,88
0.1425,32013,33978,85,904,25.67,23.39,88
0.1450,31999,34000,84,912,25.67,23.39,88
0.1475,31994,34021,94,1000,25.67,23.39,88
0.1500,32002,34027,85,1042,25.67,23.39,88
0.1525,32023,34024,91,1187,25.67,23.39,88
0.1550,32018,34023,70,1396,25.67,23.39,88
0.1575,31992,34020,74,1208,25.67,23.39,88
0.1600,31977,34054,50,859,25.67,23.39,88
0.1625,31981,34045,73,827,25.67,23.39,88
0.1650,31993,34014,95,962,25.67,23.39,88
0.1675,32018,34002,97,986,25.67,23.39,88
0.1700,32003,34023,89,1064,25.67,23.39,88
0.1725,32009,34040,71,1209,25.67,23.39,88
0.1750,32003,34048,55,1409,25.67,23.39,88
0.1775,32027,34044,58,1112,25.67,23.39,88
0.1800,32041,34043,78,794,25.67,23.39,88
0.1825,32022,34051,86,781,25.67,23.39,88
0.1850,31997,34053,86,955,25.67,23.39,88
0.1875,31972,34075,78,964,25.67,23.39,88
0.1900,31989,34059,82,1088,25.67,23.39,88
0.1925,32007,34045,92,1210,25.67,23.39,88
0.1950,32013,34035,115,1408,25.67,23.39,88
0.1975,32005,34042,96,1094,25.67,23.39,88
0.2000,32008,34061,73,848,25.67,23.39,88
0.2025,32004,34061,59,800,25.67,23.39,88
0.2050,32013,34065,75,1024,25.67,23.39,88
0.2075,32018,34050,83,981,25.67,23.39,88
0.2100,32011,34080,78,1136,25.67,23.39,88
0.2125,32011,34095,80,1288,25.67,23.39,88
0.2150,32012,34068,73,1333,25.67,23.39,88
0.2175,32032,34045,107,1029,25.67,23.39,88
0.2200,32042,34041,113,837,25.67,23.39,88
0.2225,32049,34067,84,684,25.67,23.39,88
0.2250,32033,34088,66,1146,25.67,23.39,88
0.2275,32015,34078,59,1100,25.67,23.39,88
0.2300,32027,34085,74,1240,25.67,23.39,88
0.2325,32006,34077,100,1240,25.67,23.39,88
0.2350,32008,34071,93,977,25.67,23.39,88
0.2375,31992,34020,74,1416,25.67,23.39,88
0.2400,31977,34054,50,992,25.67,23.39,88
0.2425,32004,34096,72,896,25.67,23.39,88
0.2450,32015,34077,70,944,25.67,23.39,88
0.2475,32034,34051,79,980,25.67,23.39,88
0.2500,32023,34088,80,1058,25.67,23.39,88
0.2525,32025,34105,100,1208,25.67,23.39,88
0.2550,32026,34091,99,1400,25.67,23.39,88
0.2575,32046,34100,99,1184,25.67,23.39,88
0.2600,32055,34106,70,897,25.67,23.39,88
0.2625,32025,34117,61,816,25.67,23.39,88
0.2650,31999,34128,73,960,25.67,23.39,88
0.2675,32008,34129,85,979,25.67,23.39,88
0.2700,32027,34098,85,1092,25.67,23.39,88
0.2725,32044,34086,103,1221,25.67,23.39,88
0.2750,32023,34089,82,1440,25.67,23.39,88
0.2775,32042,34115,72,1126,25.67,23.39,88
0.2800,32023,34114,51,876,25.67,23.39,88
0.2825,32056,34124,68,802,25.67,23.39,88
0.2850,32075,34121,73,1001,25.67,23.39,88
0.2875,32059,34121,90,1008,25.67,23.39,88
0.2900,32020,34128,74,1146,25.67,23.39,88
0.2925,32009,34145,83,1283,25.67,23.39,88
0.2950,32022,34146,88,1386,25.67,23.39,88
0.2975,32038,34112,77,1112,25.67,23.39,88
0.3000,32041,34105,109,876,25.67,23.39,88
0.3025,32046,34123,104,722,25.67,23.39,88
0.3050,32031,34130,66,1143,25.67,23.39,88
0.3075,32034,34156,63,1104,25.67,23.39,88
0.3100,32030,34138,70,1217,25.67,23.39,88
0.3125,32041,34138,83,1394,25.67,23.39,88
0.3150,32037,34160,73,1347,25.67,23.39,88
