Time (s),PPG_Red,PPG_IR,PPG_Green,ECG,Temp_Ambient,Temp_Object,SpO2_Ground_Truth
0.0000,32581,34867,83,976,25.57,27.69,98
0.0025,32551,34891,77,1091,25.57,27.69,98
0.0050,32574,34891,82,1195,25.57,27.69,98
0.0075,32592,34865,88,1296,25.57,27.69,98
0.0100,32604,34873,107,1037,25.57,27.69,98
0.0125,32592,34875,98,881,25.57,27.69,98
0.0150,32590,34883,80,750,25.57,27.69,98
0.0175,32595,34891,71,1164,25.57,27.69,98
0.0200,32581,34896,68,1037,25.57,27.69,98
0.0225,32604,34892,76,1144,25.57,27.69,98
0.0250,32601,34902,75,1325,25.57,27.69,98
0.0275,32594,34925,82,1260,25.57,27.69,98
0.0300,32603,34912,71,994,25.57,27.69,98
0.0325,32609,34889,96,877,25.57,27.69,98
0.0350,32616,34861,105,797,25.57,27.69,98
0.0375,32612,34880,105,1130,25.57,27.69,98
0.0400,32620,34904,83,1077,25.57,27.69,98
0.0425,32613,34912,66,1200,25.57,27.69,98
0.0450,32608,34908,66,1320,25.57,27.69,98
0.0475,32597,34916,78,1160,25.57,27.69,98
0.0500,32592,34911,90,1160,25.57,27.69,98
0.0525,32580,34891,94,556,25.57,27.69,98
0.0550,32587,34862,61,589,25.57,27.69,98
0.0575,32581,34881,70,1348,25.57,27.69,98
0.0600,32580,34923,86,1208,25.57,27.69,98
0.0625,32584,34889,72,1184,25.57,27.69,98
0.0650,32599,34874,88,1232,25.57,27.69,98
0.0675,32601,34886,91,1362,25.57,27.69,98
0.0700,32598,34900,80,1126,25.57,27.69,98
0.0725,32577,34895,88,934,25.57,27.69,98
0.0750,32596,34891,69,864,25.57,27.69,98
0.0775,32610,34879,82,1033,25.57,27.69,98
0.0800,32592,34867,71,992,25.57,27.69,98
0.0825,32562,34858,63,1097,25.57,27.69,98
0.0850,32542,34845,72,1184,25.57,27.69,98
0.0875,32537,34797,87,1297,25.57,27.69,98
0.0900,32538,34739,102,1044,25.57,27.69,98
0.0925,32521,34692,87,856,25.57,27.69,98
0.0950,32511,34670,74,744,25.57,27.69,98
0.0975,32489,34636,53,1123,25.57,27.69,98
0.1000,32492,34590,69,1080,25.57,27.69,98
0.1025,32497,34544,69,1153,25.57,27.69,98
0.1050,32456,34507,85,1280,25.57,27.69,98
0.1075,32410,34506,86,1209,25.57,27.69,98
0.1100,32380,34473,79,968,25.57,27.69,98
0.1125,32395,34418,76,861,25.57,27.69,98
0.1150,32398,34360,100,764,25.57,27.69,98
0.1175,32378,34340,105,1168,25.57,27.69,98
0.1200,32368,34319,85,1042,25.57,27.69,98
0.1225,32361,34323,68,1160,25.57,27.69,98
0.1250,32346,34293,65,1297,25.57,27.69,98
0.1275,32346,34271,75,1179,25.57,27.69,98
0.1300,32342,34253,90,896,25.57,27.69,98
0.1325,32338,34262,87,818,25.57,27.69,98
0.1350,32334,34265,81,960,25.57,27.69,98
0.1375,32326,34203,73,1096,25.57,27.69,98
0.1400,32345,34168,90,1059,25.57,27.69,98
0.1425,32332,34170,101,1184,25.57,27.69,98
0.1450,32328,34192,77,1292,25.57,27.69,98
0.1475,32322,34183,60,1165,25.57,27.69,98
0.1500,32322,34171,74,826,25.57,27.69,98
0.1525,32313,34162,69,776,25.57,27.69,98
0.1550,32288,34163,78,776,25.57,27.69,98
0.1575,32298,34153,108,666,25.57,27.69,98
0.1600,32592,34867,71,778,25.57,27.69,98
0.1625,32562,34858,63,1416,25.57,27.69,98
0.1650,32276,34179,82,1360,25.57,27.69,98
0.1675,32291,34142,68,1453,25.57,27.69,98
0.1700,32312,34103,69,1176,25.57,27.69,98
0.1725,32295,34127,90,944,25.57,27.69,98
0.1750,32303,34150,84,808,25.57,27.69,98
0.1775,32286,34157,103,1088,25.57,27.69,98
0.1800,32288,34146,87,1031,25.57,27.69,98
0.1825,32328,34149,90,1112,25.57,27.69,98
0.1850,32317,34143,74,1273,25.57,27.69,98
0.1875,32290,34153,72,1280,25.57,27.69,98
0.1900,32266,34179,61,992,25.57,27.69,98
0.1925,32277,34176,66,860,25.57,27.69,98
0.1950,32301,34137,87,704,25.57,27.69,98
0.1975,32310,34122,114,1168,25.57,27.69,98
0.2000,32290,34139,100,1056,25.57,27.69,98
0.2025,32292,34145,58,1152,25.57,27.69,98
0.2050,32313,34160,64,1316,25.57,27.69,98
0.2075,32319,34147,72,1203,25.57,27.69,98
0.2100,32324,34156,71,931,25.57,27.69,98
0.2125,32306,34164,83,826,25.57,27.69,98
0.2150,32264,34179,89,930,25.57,27.69,98
0.2175,32271,34169,87,1113,25.57,27.69,98
0.2200,32295,34154,83,1048,25.57,27.69,98
0.2225,32299,34126,109,1160,25.57,27.69,98
0.2250,32298,34143,93,1261,25.57,27.69,98
0.2275,32300,34152,73,1206,25.57,27.69,98
0.2300,32293,34137,64,886,25.57,27.69,98
0.2325,32302,34157,82,878,25.57,27.69,98
0.2350,32298,34146,81,1137,25.57,27.69,98
0.2375,32300,34165,77,1161,25.57,27.69,98
0.2400,32306,34175,71,1088,25.57,27.69,98
0.2425,32303,34167,68,1197,25.57,27.69,98
0.2450,32299,34130,95,1369,25.57,27.69,98
0.2475,32324,34102,102,1188,25.57,27.69,98
0.2500,32312,34121,102,792,25.57,27.69,98
0.2525,32320,34136,76,808,25.57,27.69,98
0.2550,32310,34140,72,1161,25.57,27.69,98
0.2575,32301,34126,74,1081,25.57,27.69,98
0.2600,32285,34125,70,1120,25.57,27.69,98
0.2625,32285,34124,86,1120,25.57,27.69,98
0.2650,32272,34104,98,867,25.57,27.69,98
0.2675,32290,34153,72,1516,25.57,27.69,98
0.2700,32266,34179,61,1184,25.57,27.69,98
0.2725,32258,34129,77,946,25.57,27.69,98
0.2750,32286,34084,59,826,25.57,27.69,98
0.2775,32289,34082,75,1233,25.57,27.69,98
