Time (s),PPG_Red,PPG_IR,PPG_Green,ECG,Temp_Ambient,Temp_Object,SpO2_Ground_Truth,HR_Ground_Truth
0.0000,27646,28880,103,1083,29.42,27.86,98,98
0.0025,27643,28884,99,1149,29.42,27.86,98,98
0.0050,27641,28887,84,1221,29.42,27.86,98,98
0.0075,27643,28893,94,1323,29.42,27.86,98,98
0.0100,27659,28897,86,1283,29.42,27.86,98,98
0.0125,27653,28896,92,1214,29.42,27.86,98,98
0.0150,27656,28886,94,1397,29.42,27.86,98,98
0.0175,27651,28890,86,1374,29.42,27.86,98,98
0.0200,27655,28894,104,1362,29.42,27.86,98,98
0.0225,27654,28882,104,1452,29.42,27.86,98,98
0.0250,27658,28899,102,1439,29.42,27.86,98,98
0.0275,27650,28888,86,1475,29.42,27.86,98,98
0.0300,27656,28899,84,1573,29.42,27.86,98,98
0.0325,27657,28908,97,1455,29.42,27.86,98,98
0.0350,27659,28896,82,1399,29.42,27.86,98,98
0.0375,27666,28913,83,1330,29.42,27.86,98,98
0.0400,27665,28909,88,1305,29.42,27.86,98,98
0.0425,27665,28910,98,1459,29.42,27.86,98,98
0.0450,27675,28910,87,1568,29.42,27.86,98,98
0.0475,27666,28889,104,1634,29.42,27.86,98,98
0.0500,27665,28909,103,1595,29.42,27.86,98,98
0.0525,27662,28916,91,1439,29.42,27.86,98,98
0.0550,27663,28917,95,1535,29.42,27.86,98,98
0.0575,27665,28922,88,1619,29.42,27.86,98,98
0.0600,27668,28917,96,1576,29.42,27.86,98,98
0.0625,27681,28924,93,1562,29.42,27.86,98,98
0.0650,27683,28923,90,1580,29.42,27.86,98,98
0.0675,27688,28931,87,1601,29.42,27.86,98,98
0.0700,27683,28930,90,1560,29.42,27.86,98,98
0.0725,27685,28936,88,1459,29.42,27.86,98,98
0.0750,27680,28936,106,1460,29.42,27.86,98,98
0.0775,27679,28949,99,1619,29.42,27.86,98,98
0.0800,27671,28941,83,1648,29.42,27.86,98,98
0.0825,27682,28947,95,1547,29.42,27.86,98,98
0.0850,27691,28957,85,1475,29.42,27.86,98,98
0.0875,27693,28951,94,1471,29.42,27.86,98,98
0.0900,27699,28953,95,1438,29.42,27.86,98,98
0.0925,27699,28949,84,1389,29.42,27.86,98,98
0.0950,27710,28969,95,1432,29.42,27.86,98,98
0.0975,27699,28952,84,1565,29.42,27.86,98,98
0.1000,27697,28958,91,1539,29.42,27.86,98,98
0.1025,27705,28971,91,1481,29.42,27.86,98,98
0.1050,27697,28966,100,1399,29.42,27.86,98,98
0.1075,27707,28962,87,1298,29.42,27.86,98,98
0.1100,27709,28979,84,1466,29.42,27.86,98,98
0.1125,27707,28982,90,1562,29.42,27.86,98,98
0.1150,27720,28978,87,1566,29.42,27.86,98,98
0.1175,27709,28989,84,1547,29.42,27.86,98,98
0.1200,27704,28982,101,1420,29.42,27.86,98,98
0.1225,27705,29000,93,1364,29.42,27.86,98,98
0.1250,27720,28982,93,1450,29.42,27.86,98,98
0.1275,27700,28996,86,1573,29.42,27.86,98,98
0.1300,27717,28998,88,1489,29.42,27.86,98,98
0.1325,27712,28998,93,1508,29.42,27.86,98,98
0.1350,27706,28999,89,1449,29.42,27.86,98,98
0.1375,27720,28995,80,1513,29.42,27.86,98,98
0.1400,27729,28965,100,1541,29.42,27.86,98,98
0.1425,27696,29005,88,1440,29.42,27.86,98,98
0.1450,27679,29009,86,1434,29.42,27.86,98,98
0.1475,27756,28988,74,1470,29.42,27.86,98,98
0.1500,27739,28987,71,1484,29.42,27.86,98,98
0.1525,27717,28977,67,1470,29.42,27.86,98,98
0.1550,27712,28969,96,1480,29.42,27.86,98,98
