Time (s),PPG_Red,PPG_IR,PPG_Green,ECG,Temp_Ambient,Temp_Object,SpO2_Ground_Truth
0.0000,33691,35256,77,1401,25.47,23.64,96
0.0025,33708,35250,69,1504,25.47,23.64,96
0.0050,33734,35221,77,1361,25.47,23.64,96
0.0075,33720,35249,76,992,25.47,23.64,96
0.0100,33715,35251,89,886,25.47,23.64,96
0.0125,33723,35276,97,969,25.47,23.64,96
0.0150,33723,35261,99,1078,25.47,23.64,96
0.0175,33722,35271,81,1050,25.47,23.64,96
0.0200,33737,35262,72,1161,25.47,23.64,96
0.0225,33721,35266,44,1322,25.47,23.64,96
0.0250,33708,35289,72,1168,25.47,23.64,96
0.0275,33695,35291,73,837,25.47,23.64,96
0.0300,33711,35244,106,842,25.47,23.64,96
0.0325,33720,35245,85,960,25.47,23.64,96
0.0350,33723,35259,78,988,25.47,23.64,96
0.0375,33715,35279,61,1026,25.47,23.64,96
0.0400,33729,35276,56,1156,25.47,23.64,96
0.0425,33748,35283,71,1321,25.47,23.64,96
0.0450,33743,35276,77,1121,25.47,23.64,96
0.0475,33721,35293,85,802,25.47,23.64,96
0.0500,33676,35310,72,810,25.47,23.64,96
0.0525,33700,35303,77,977,25.47,23.64,96
0.0550,33714,35279,94,987,25.47,23.64,96
0.0575,33740,35263,108,1060,25.47,23.64,96
0.0600,33713,35282,75,1165,25.47,23.64,96
0.0625,33735,35295,73,1321,25.47,23.64,96
0.0650,33718,35287,65,1101,25.47,23.64,96
0.0675,33723,35295,75,858,25.47,23.64,96
0.0700,33724,35296,94,843,25.47,23.64,96
0.0725,33728,35307,79,1027,25.47,23.64,96
0.0750,33726,35320,79,969,25.47,23.64,96
0.0775,33726,35311,83,1080,25.47,23.64,96
0.0800,33729,35277,87,1172,25.47,23.64,96
0.0825,33745,35263,108,1296,25.47,23.64,96
0.0850,33737,35280,95,1049,25.47,23.64,96
0.0875,33741,35293,71,857,25.47,23.64,96
0.0900,33740,35303,68,740,25.47,23.64,96
0.0925,33731,35297,70,1124,25.47,23.64,96
0.0950,33723,35297,84,1048,25.47,23.64,96
0.0975,33700,35286,90,1048,25.47,23.64,96
0.1000,33722,35284,102,755,25.47,23.64,96
0.1025,33721,35266,44,1093,25.47,23.64,96
0.1050,33708,35289,72,1523,25.47,23.64,96
0.1075,33718,35302,73,1068,25.47,23.64,96
0.1100,33722,35278,52,925,25.47,23.64,96
0.1125,33741,35287,69,965,25.47,23.64,96
0.1150,33719,35292,82,994,25.47,23.64,96
0.1175,33713,35315,100,1034,25.47,23.64,96
0.1200,33727,35318,91,1161,25.47,23.64,96
0.1225,33740,35321,72,1317,25.47,23.64,96
0.1250,33743,35312,74,1131,25.47,23.64,96
0.1275,33719,35323,68,889,25.47,23.64,96
0.1300,33700,35353,95,860,25.47,23.64,96
0.1325,33719,35334,81,993,25.47,23.64,96
0.1350,33721,35307,102,1004,25.47,23.64,96
