Time (s),PPG_Red,PPG_IR,PPG_Green,ECG,Temp_Ambient,Temp_Object,SpO2_Ground_Truth
0.0000,28935,30484,130,837,34.07,29.91,99
0.0025,28927,30499,78,937,34.07,29.91,99
0.0050,28928,30503,69,944,34.07,29.91,99
0.0075,28924,30514,63,940,34.07,29.91,99
0.0100,28923,30507,74,1048,34.07,29.91,99
0.0125,28922,30495,83,924,34.07,29.91,99
0.0150,28942,30518,91,877,34.07,29.91,99
0.0175,28942,30529,85,875,34.07,29.91,99
0.0200,28919,30527,72,870,34.07,29.91,99
0.0225,28940,30488,87,981,34.07,29.91,99
0.0250,28963,30461,104,973,34.07,29.91,99
0.0275,28924,30496,94,1017,34.07,29.91,99
0.0300,28938,30492,82,1052,34.07,29.91,99
0.0325,28954,30499,78,909,34.07,29.91,99
0.0350,28928,30507,71,848,34.07,29.91,99
0.0375,28921,30499,88,848,34.07,29.91,99
0.0400,28904,30484,105,391,34.07,29.91,99
0.0425,28938,30486,110,617,34.07,29.91,99
0.0450,28946,30490,93,1297,34.07,29.91,99
0.0475,28911,30544,70,1144,34.07,29.91,99
0.0500,28923,30516,74,1220,34.07,29.91,99
0.0525,28937,30520,60,1056,34.07,29.91,99
0.0550,28929,30498,69,944,34.07,29.91,99
0.0575,28940,30535,78,901,34.07,29.91,99
0.0600,28937,30541,99,820,34.07,29.91,99
0.0625,28953,30544,100,900,34.07,29.91,99
0.0650,28977,30559,71,922,34.07,29.91,99
0.0675,28975,30557,79,909,34.07,29.91,99
0.0700,28955,30576,90,1018,34.07,29.91,99
0.0725,28918,30574,100,973,34.07,29.91,99
0.0750,28945,30579,112,904,34.07,29.91,99
0.0775,28954,30542,92,873,34.07,29.91,99
0.0800,28951,30544,102,816,34.07,29.91,99
0.0825,28943,30560,69,900,34.07,29.91,99
0.0850,28942,30587,58,920,34.07,29.91,99
0.0875,28993,30599,74,908,34.07,29.91,99
0.0900,28979,30595,94,1017,34.07,29.91,99
0.0925,28943,30617,92,944,34.07,29.91,99
0.0950,28941,30632,75,881,34.07,29.91,99
0.0975,28953,30605,83,857,34.07,29.91,99
0.1000,28978,30586,110,842,34.07,29.91,99
0.1025,28970,30600,114,950,34.07,29.91,99
0.1050,28974,30614,94,946,34.07,29.91,99
0.1075,28986,30627,74,967,34.07,29.91,99
0.1100,28983,30626,93,1024,34.07,29.91,99
0.1125,28978,30639,92,907,34.07,29.91,99
0.1150,28987,30654,92,868,34.07,29.91,99
0.1175,28988,30660,93,825,34.07,29.91,99
0.1200,28988,30623,86,856,34.07,29.91,99
0.1225,28989,30608,96,928,34.07,29.91,99
0.1250,29003,30604,128,936,34.07,29.91,99
0.1275,29014,30638,89,1009,34.07,29.91,99
0.1300,28997,30645,83,1000,34.07,29.91,99
0.1325,28996,30669,66,936,34.07,29.91,99
0.1350,28995,30642,72,889,34.07,29.91,99
0.1375,28981,30647,89,761,34.07,29.91,99
0.1400,28981,30643,85,761,34.07,29.91,99
0.1425,28957,30620,101,450,34.07,29.91,99
0.1450,28977,30559,71,1161,34.07,29.91,99
0.1475,28982,30675,68,1064,34.07,29.91,99
0.1500,28979,30654,72,1136,34.07,29.91,99
0.1525,28997,30634,65,993,34.07,29.91,99
0.1550,29006,30621,76,930,34.07,29.91,99
0.1575,29002,30671,89,896,34.07,29.91,99
0.1600,28981,30670,105,811,34.07,29.91,99
0.1625,29007,30670,97,908,34.07,29.91,99
0.1650,29030,30677,84,922,34.07,29.91,99
0.1675,29019,30672,65,924,34.07,29.91,99
0.1700,28980,30694,80,1024,34.07,29.91,99
0.1725,28982,30695,103,905,34.07,29.91,99
0.1750,29008,30660,89,850,34.07,29.91,99
0.1775,29008,30645,102,816,34.07,29.91,99
0.1800,28999,30660,86,819,34.07,29.91,99
0.1825,28992,30665,65,912,34.07,29.91,99
0.1850,28998,30672,62,912,34.07,29.91,99
0.1875,29027,30673,73,972,34.07,29.91,99
0.1900,29035,30669,83,986,34.07,29.91,99
0.1925,28991,30664,83,905,34.07,29.91,99
0.1950,28961,30686,94,860,34.07,29.91,99
0.1975,28977,30663,83,800,34.07,29.91,99
0.2000,28983,30644,98,834,34.07,29.91,99
0.2025,28990,30589,112,922,34.07,29.91,99
0.2050,28970,30602,111,925,34.07,29.91,99
0.2075,28963,30613,88,1013,34.07,29.91,99
0.2100,28962,30617,68,1008,34.07,29.91,99
0.2125,28970,30587,73,913,34.07,29.91,99
0.2150,28952,30581,84,882,34.07,29.91,99
0.2175,28956,30574,79,788,34.07,29.91,99
0.2200,28951,30570,82,849,34.07,29.91,99
0.2225,28941,30575,78,938,34.07,29.91,99
0.2250,28942,30521,92,935,34.07,29.91,99
0.2275,28944,30483,101,1032,34.07,29.91,99
0.2300,28945,30482,98,954,34.07,29.91,99
0.2325,28938,30468,68,882,34.07,29.91,99
0.2350,28913,30478,84,891,34.07,29.91,99
0.2375,28903,30447,76,809,34.07,29.91,99
0.2400,28904,30440,96,889,34.07,29.91,99
0.2425,28869,30410,74,889,34.07,29.91,99
0.2450,28861,30386,114,500,34.07,29.91,99
0.2475,29019,30672,65,1184,34.07,29.91,99
0.2500,28980,30694,80,1185,34.07,29.91,99
0.2525,28858,30356,65,1003,34.07,29.91,99
0.2550,28866,30324,75,950,34.07,29.91,99
0.2575,28856,30312,59,873,34.07,29.91,99
0.2600,28842,30314,83,841,34.07,29.91,99
0.2625,28854,30334,111,920,34.07,29.91,99
0.2650,28837,30318,120,925,34.07,29.91,99
0.2675,28853,30303,98,997,34.07,29.91,99
0.2700,28843,30282,83,1040,34.07,29.91,99
0.2725,28813,30276,66,901,34.07,29.91,99
0.2750,28795,30304,86,865,34.07,29.91,99
0.2775,28794,30294,88,800,34.07,29.91,99
0.2800,28820,30243,106,817,34.07,29.91,99
0.2825,28821,30237,95,925,34.07,29.91,99
0.2850,28797,30240,79,920,34.07,29.91,99
0.2875,28808,30257,62,1001,34.07,29.91,99
0.2900,28828,30242,63,978,34.07,29.91,99
0.2925,28840,30224,85,896,34.07,29.91,99
0.2950,28827,30233,91,856,34.07,29.91,99
0.2975,28784,30238,87,771,34.07,29.91,99
0.3000,28775,30269,80,824,34.07,29.91,99
0.3025,28811,30222,86,914,34.07,29.91,99
0.3050,28810,30230,91,904,34.07,29.91,99
0.3075,28799,30215,100,1016,34.07,29.91,99
0.3100,28804,30229,85,966,34.07,29.91,99
0.3125,28805,30247,75,901,34.07,29.91,99
0.3150,28805,30245,62,875,34.07,29.91,99
