Time (s),PPG_Red,PPG_IR,PPG_Green,ECG,Temp_Ambient,Temp_Object,SpO2_Ground_Truth
0.0000,28799,30628,104,791,33.88,30.36,96
0.0025,28793,30654,86,902,33.88,30.36,96
0.0050,28786,30630,70,999,33.88,30.36,96
0.0075,28771,30614,84,1005,33.88,30.36,96
0.0100,28780,30602,79,1244,33.88,30.36,96
0.0125,28769,30610,80,1013,33.88,30.36,96
0.0150,28778,30599,81,912,33.88,30.36,96
0.0175,28760,30591,82,869,33.88,30.36,96
0.0200,28750,30538,86,828,33.88,30.36,96
0.0225,28766,30491,101,973,33.88,30.36,96
0.0250,28750,30489,114,1035,33.88,30.36,96
0.0275,28743,30486,85,984,33.88,30.36,96
0.0300,28746,30490,58,1216,33.88,30.36,96
0.0325,28718,30471,72,889,33.88,30.36,96
0.0350,28704,30442,76,889,33.88,30.36,96
0.0375,28694,30424,107,466,33.88,30.36,96
0.0400,28831,30675,100,486,33.88,30.36,96
0.0425,28839,30684,67,1130,33.88,30.36,96
0.0450,28662,30395,76,1189,33.88,30.36,96
0.0475,28678,30346,61,1100,33.88,30.36,96
0.0500,28677,30320,63,1268,33.88,30.36,96
0.0525,28661,30315,71,1116,33.88,30.36,96
0.0550,28654,30322,94,924,33.88,30.36,96
0.0575,28651,30327,99,870,33.88,30.36,96
0.0600,28644,30305,91,784,33.88,30.36,96
0.0625,28671,30291,86,867,33.88,30.36,96
0.0650,28626,30288,56,1020,33.88,30.36,96
0.0675,28605,30323,90,1016,33.88,30.36,96
0.0700,28607,30282,98,1241,33.88,30.36,96
0.0725,28619,30238,121,1000,33.88,30.36,96
0.0750,28624,30223,139,890,33.88,30.36,96
0.0775,28621,30232,99,880,33.88,30.36,96
0.0800,28612,30232,65,801,33.88,30.36,96
0.0825,28630,30241,63,914,33.88,30.36,96
0.0850,28641,30228,76,996,33.88,30.36,96
0.0875,28664,30237,81,992,33.88,30.36,96
0.0900,28612,30242,87,1224,33.88,30.36,96
0.0925,28582,30245,92,995,33.88,30.36,96
0.0950,28593,30249,77,880,33.88,30.36,96
0.0975,28598,30210,89,872,33.88,30.36,96
0.1000,28597,30188,109,860,33.88,30.36,96
0.1025,28592,30205,85,995,33.88,30.36,96
0.1050,28605,30215,78,1040,33.88,30.36,96
0.1075,28598,30201,63,978,33.88,30.36,96
0.1100,28597,30206,66,1217,33.88,30.36,96
0.1125,28610,30214,81,955,33.88,30.36,96
0.1150,28604,30227,87,880,33.88,30.36,96
0.1175,28633,30229,87,826,33.88,30.36,96
0.1200,28605,30215,88,857,33.88,30.36,96
0.1225,28620,30191,91,987,33.88,30.36,96
0.1250,28640,30183,106,1040,33.88,30.36,96
0.1275,28641,30199,109,1089,33.88,30.36,96
0.1300,28617,30207,84,1144,33.88,30.36,96
0.1325,28640,30224,63,937,33.88,30.36,96
0.1350,28615,30219,69,871,33.88,30.36,96
0.1375,28627,30217,81,654,33.88,30.36,96
0.1400,28599,30227,81,654,33.88,30.36,96
0.1425,28610,30202,96,443,33.88,30.36,96
0.1450,28626,30288,56,1237,33.88,30.36,96
