Time (s),PPG_Red,PPG_IR,PPG_Green,ECG,Temp_Ambient,Temp_Object,SpO2_Ground_Truth
0.3075,29250,31736,63,884,34.04,30.45,97
0.3100,29232,31743,76,690,34.04,30.45,97
0.3125,29230,31742,92,690,34.04,30.45,97
0.3150,29215,31748,97,404,34.04,30.45,97
0.3175,29316,31865,84,729,34.04,30.45,97
0.3200,29306,31863,67,1336,34.04,30.45,97
0.3225,29252,31806,68,1393,34.04,30.45,97
0.3250,29263,31803,73,1224,34.04,30.45,97
0.3275,29290,31801,88,971,34.04,30.45,97
0.3300,29272,31825,87,899,34.04,30.45,97
0.3325,29282,31848,89,789,34.04,30.45,97
0.3350,29299,31859,106,853,34.04,30.45,97
0.3375,29322,31865,93,1016,34.04,30.45,97
0.3400,29318,31877,70,1017,34.04,30.45,97
0.3425,29295,31887,77,1240,34.04,30.45,97
0.3450,29278,31917,90,1068,34.04,30.45,97
0.3475,29297,31888,96,880,34.04,30.45,97
0.3500,29310,31856,101,868,34.04,30.45,97
0.3525,29294,31843,86,789,34.04,30.45,97
0.3550,29295,31851,71,932,34.04,30.45,97
0.3575,29288,31830,60,992,34.04,30.45,97
0.3600,29304,31808,75,992,34.04,30.45,97
0.3625,29291,31794,97,1248,34.04,30.45,97
0.3650,29233,31766,82,1027,34.04,30.45,97
0.3675,29225,31788,89,857,34.04,30.45,97
0.3700,29245,31738,86,856,34.04,30.45,97
0.3725,29243,31713,109,800,34.04,30.45,97
0.3750,29253,31675,113,936,34.04,30.45,97
0.3775,29215,31678,93,1012,34.04,30.45,97
0.3800,29223,31717,65,1008,34.04,30.45,97
0.3825,29231,31717,63,1257,34.04,30.45,97
0.3850,29233,31724,89,1024,34.04,30.45,97
0.3875,29240,31737,106,865,34.04,30.45,97
0.3900,29224,31775,86,845,34.04,30.45,97
0.3925,29248,31783,83,856,34.04,30.45,97
0.3950,29250,31748,74,992,34.04,30.45,97
0.3975,29255,31723,100,1045,34.04,30.45,97
0.4000,29269,31749,98,1075,34.04,30.45,97
0.4025,29270,31776,74,1164,34.04,30.45,97
0.4050,29269,31788,81,940,34.04,30.45,97
0.4075,29260,31782,77,858,34.04,30.45,97
0.4100,29238,31761,104,594,34.04,30.45,97
0.4125,29238,31762,97,594,34.04,30.45,97
0.4150,29232,31748,115,440,34.04,30.45,97
0.4175,29322,31865,93,1248,34.04,30.45,97
0.4200,29209,31734,69,1152,34.04,30.45,97
0.4225,29219,31694,60,1281,34.04,30.45,97
0.4250,29228,31669,63,1044,34.04,30.45,97
0.4275,29193,31646,72,868,34.04,30.45,97
0.4300,29197,31634,93,861,34.04,30.45,97
0.4325,29181,31625,105,816,34.04,30.45,97
0.4350,29173,31589,101,931,34.04,30.45,97
0.4375,29187,31562,79,1025,34.04,30.45,97
0.4400,29173,31538,85,976,34.04,30.45,97
0.4425,29138,31516,74,1299,34.04,30.45,97
0.4450,29105,31478,100,960,34.04,30.45,97
0.4475,29103,31428,98,857,34.04,30.45,97
0.4500,29123,31368,111,851,34.04,30.45,97
0.4525,29084,31365,85,821,34.04,30.45,97
0.4550,29071,31338,63,1014,34.04,30.45,97
0.4575,29056,31325,63,1069,34.04,30.45,97
0.4600,29065,31284,73,1024,34.04,30.45,97
0.4625,29065,31265,77,1245,34.04,30.45,97
0.4650,29033,31238,87,992,34.04,30.45,97
0.4675,28994,31257,99,872,34.04,30.45,97
0.4700,28975,31220,83,829,34.04,30.45,97
0.4725,28983,31182,97,808,34.04,30.45,97
0.4750,28991,31143,100,965,34.04,30.45,97
0.4775,28978,31102,110,1091,34.04,30.45,97
0.4800,28973,31116,83,1100,34.04,30.45,97
0.4825,28954,31107,67,1216,34.04,30.45,97
0.4850,28949,31075,96,936,34.04,30.45,97
0.4875,28957,31085,76,860,34.04,30.45,97
0.4900,28939,31055,98,704,34.04,30.45,97
0.4925,28947,31073,90,840,34.04,30.45,97
0.4950,28939,31072,79,996,34.04,30.45,97
0.4975,28927,31036,95,1060,34.04,30.45,97
0.5000,28954,30998,98,1204,34.04,30.45,97
0.5025,28938,30990,103,1152,34.04,30.45,97
0.5050,28955,30989,87,886,34.04,30.45,97
0.5075,28940,31003,62,869,34.04,30.45,97
0.5100,28930,30984,70,694,34.04,30.45,97
0.5125,28908,30976,82,858,34.04,30.45,97
0.5150,28898,30963,95,858,34.04,30.45,97
0.5175,28905,30938,102,610,34.04,30.45,97
0.5200,29173,31538,85,1248,34.04,30.45,97
0.5225,29138,31516,74,1456,34.04,30.45,97
0.5250,28871,30934,79,1156,34.04,30.45,97
0.5275,28887,30922,72,883,34.04,30.45,97
0.5300,28899,30889,85,876,34.04,30.45,97
0.5325,28886,30893,89,813,34.04,30.45,97
0.5350,28891,30928,89,983,34.04,30.45,97
0.5375,28888,30924,89,1058,34.04,30.45,97
0.5400,28900,30909,111,1004,34.04,30.45,97
0.5425,28901,30917,81,1281,34.04,30.45,97
0.5450,28890,30909,71,960,34.04,30.45,97
0.5475,28848,30942,84,864,34.04,30.45,97
0.5500,28839,30949,84,825,34.04,30.45,97
0.5525,28888,30925,87,801,34.04,30.45,97
0.5550,28891,30911,103,960,34.04,30.45,97
0.5575,28898,30934,84,1035,34.04,30.45,97
0.5600,28879,30956,52,1113,34.04,30.45,97
0.5625,28911,30949,55,1184,34.04,30.45,97
0.5650,28929,30947,78,928,34.04,30.45,97
0.5675,28927,30955,95,822,34.04,30.45,97
0.5700,28909,30968,84,715,34.04,30.45,97
0.5725,28877,30992,87,808,34.04,30.45,97
0.5750,28899,30962,108,1017,34.04,30.45,97
0.5775,28900,30939,123,1028,34.04,30.45,97
0.5800,28912,30957,88,1147,34.04,30.45,97
0.5825,28912,30977,79,1132,34.04,30.45,97
0.5850,28929,30973,65,954,34.04,30.45,97
0.5875,28908,30986,71,866,34.04,30.45,97
0.5900,28916,30976,80,704,34.04,30.45,97
0.5925,28912,31004,91,853,34.04,30.45,97
0.5950,28910,31006,86,1024,34.04,30.45,97
0.5975,28917,30960,87,994,34.04,30.45,97
0.6000,28935,30939,99,1256,34.04,30.45,97
