Time (s),PPG_Red,PPG_IR,PPG_Green,ECG,Temp_Ambient,Temp_Object,SpO2_Ground_Truth
0.0000,30281,34071,63,1042,34.32,30.45,99
0.0025,30266,34005,69,1016,34.32,30.45,99
0.0050,30287,34021,79,1088,34.32,30.45,99
0.0075,30275,34034,93,1059,34.32,30.45,99
0.0100,30268,34057,99,932,34.32,30.45,99
0.0125,30297,34039,84,843,34.32,30.45,99
0.0150,30313,34041,86,784,34.32,30.45,99
0.0175,30282,34045,61,813,34.32,30.45,99
0.0200,30267,34056,90,948,34.32,30.45,99
0.0225,30236,34061,84,950,34.32,30.45,99
0.0250,30266,34046,89,1116,34.32,30.45,99
0.0275,30286,34018,99,1013,34.32,30.45,99
0.0300,30271,34007,93,890,34.32,30.45,99
0.0325,30263,34042,97,882,34.32,30.45,99
0.0350,30270,34033,69,768,34.32,30.45,99
0.0375,30283,34038,60,846,34.32,30.45,99
0.0400,30289,34041,82,980,34.32,30.45,99
0.0425,30265,34031,100,970,34.32,30.45,99
0.0450,30222,34049,80,1160,34.32,30.45,99
0.0475,30226,34048,87,964,34.32,30.45,99
0.0500,30242,34003,102,857,34.32,30.45,99
0.0525,30267,33998,117,865,34.32,30.45,99
0.0550,30248,34010,90,806,34.32,30.45,99
0.0575,30244,34017,85,891,34.32,30.45,99
0.0600,30227,34026,71,1024,34.32,30.45,99
0.0625,30235,34012,80,960,34.32,30.45,99
0.0650,30250,34014,93,1140,34.32,30.45,99
0.0675,30231,34027,81,970,34.32,30.45,99
0.0700,30218,34050,81,883,34.32,30.45,99
0.0725,30242,34017,89,896,34.32,30.45,99
0.0750,30241,33989,87,804,34.32,30.45,99
0.0775,30243,33968,95,947,34.32,30.45,99
0.0800,30238,33986,110,1002,34.32,30.45,99
0.0825,30247,34020,86,981,34.32,30.45,99
0.0850,30250,34023,88,1152,34.32,30.45,99
0.0875,30235,34005,68,953,34.32,30.45,99
0.0900,30236,33990,72,826,34.32,30.45,99
