Time (s),PPG_Red,PPG_IR,PPG_Green,ECG,Temp_Ambient,Temp_Object,SpO2_Ground_Truth
0.0000,30167,33050,99,1184,33.85,30.36,100
0.0025,30126,33047,99,948,33.85,30.36,100
0.0050,30129,33075,80,875,33.85,30.36,100
0.0075,30150,33101,93,888,33.85,30.36,100
0.0100,30139,33038,91,848,33.85,30.36,100
0.0125,30149,33038,129,968,33.85,30.36,100
0.0150,30140,33051,92,1014,33.85,30.36,100
0.0175,30169,33077,72,1010,33.85,30.36,100
0.0200,30148,33071,67,1192,33.85,30.36,100
0.0225,30165,33076,70,985,33.85,30.36,100
0.0250,30155,33081,79,905,33.85,30.36,100
0.0275,30167,33118,81,844,33.85,30.36,100
0.0300,30162,33115,81,875,33.85,30.36,100
0.0325,30154,33087,96,1016,33.85,30.36,100
0.0350,30171,33055,95,1034,33.85,30.36,100
0.0375,30184,33071,108,1029,33.85,30.36,100
0.0400,30184,33101,84,1093,33.85,30.36,100
0.0425,30187,33119,80,944,33.85,30.36,100
0.0450,30192,33129,75,891,33.85,30.36,100
0.0475,30163,33112,76,825,33.85,30.36,100
0.0500,30154,33114,90,859,33.85,30.36,100
0.0525,30147,33108,92,859,33.85,30.36,100
0.0550,30153,33104,96,570,33.85,30.36,100
0.0575,30115,33057,74,1226,33.85,30.36,100
0.0600,30112,33062,75,1292,33.85,30.36,100
0.0625,30156,33140,99,1088,33.85,30.36,100
0.0650,30187,33092,86,930,33.85,30.36,100
0.0675,30172,33119,84,881,33.85,30.36,100
0.0700,30185,33152,101,860,33.85,30.36,100
0.0725,30181,33159,89,933,33.85,30.36,100
0.0750,30192,33156,78,1013,33.85,30.36,100
0.0775,30209,33156,71,1010,33.85,30.36,100
0.0800,30171,33171,81,1176,33.85,30.36,100
0.0825,30151,33189,72,984,33.85,30.36,100
0.0850,30181,33160,103,893,33.85,30.36,100
0.0875,30220,33155,103,901,33.85,30.36,100
0.0900,30194,33158,101,816,33.85,30.36,100
0.0925,30180,33171,72,940,33.85,30.36,100
0.0950,30194,33194,63,992,33.85,30.36,100
0.0975,30210,33187,62,982,33.85,30.36,100
0.1000,30215,33184,72,1164,33.85,30.36,100
0.1025,30231,33176,98,960,33.85,30.36,100
0.1050,30176,33185,77,877,33.85,30.36,100
0.1075,30158,33204,83,880,33.85,30.36,100
0.1100,30174,33212,80,865,33.85,30.36,100
0.1125,30201,33184,98,1009,33.85,30.36,100
0.1150,30218,33182,103,1030,33.85,30.36,100
0.1175,30198,33216,85,1024,33.85,30.36,100
0.1200,30199,33200,75,1093,33.85,30.36,100
0.1225,30185,33210,72,962,33.85,30.36,100
0.1250,30201,33209,73,888,33.85,30.36,100
0.1275,30189,33206,71,836,33.85,30.36,100
0.1300,30206,33205,90,875,33.85,30.36,100
0.1325,30192,33220,85,992,33.85,30.36,100
0.1350,30197,33229,89,1024,33.85,30.36,100
0.1375,30193,33195,81,1072,33.85,30.36,100
0.1400,30209,33172,99,1060,33.85,30.36,100
0.1425,30204,33156,96,944,33.85,30.36,100
0.1450,30213,33160,77,876,33.85,30.36,100
0.1475,30200,33200,80,768,33.85,30.36,100
0.1500,30199,33166,70,884,33.85,30.36,100
0.1525,30184,33155,80,997,33.85,30.36,100
0.1550,30171,33150,89,997,33.85,30.36,100
0.1575,30167,33116,112,577,33.85,30.36,100
0.1600,30171,33171,81,906,33.85,30.36,100
0.1625,30151,33189,72,1300,33.85,30.36,100
0.1650,30146,33124,79,1058,33.85,30.36,100
0.1675,30171,33089,70,954,33.85,30.36,100
0.1700,30171,33063,87,884,33.85,30.36,100
0.1725,30146,33045,94,996,33.85,30.36,100
0.1750,30158,33062,100,1036,33.85,30.36,100
0.1775,30151,33051,93,985,33.85,30.36,100
0.1800,30157,33027,79,1164,33.85,30.36,100
0.1825,30146,33030,59,944,33.85,30.36,100
0.1850,30136,33014,67,870,33.85,30.36,100
0.1875,30109,33027,82,886,33.85,30.36,100
0.1900,30113,32987,90,859,33.85,30.36,100
0.1925,30122,32944,101,992,33.85,30.36,100
0.1950,30105,32944,121,1018,33.85,30.36,100
0.1975,30113,32927,91,1028,33.85,30.36,100
0.2000,30096,32925,55,1120,33.85,30.36,100
0.2025,30107,32905,64,966,33.85,30.36,100
0.2050,30114,32904,65,888,33.85,30.36,100
0.2075,30104,32886,93,832,33.85,30.36,100
0.2100,30061,32891,82,856,33.85,30.36,100
0.2125,30046,32896,79,995,33.85,30.36,100
0.2150,30053,32861,88,1016,33.85,30.36,100
0.2175,30078,32824,105,1094,33.85,30.36,100
0.2200,30071,32815,106,1104,33.85,30.36,100
0.2225,30045,32820,93,939,33.85,30.36,100
0.2250,30047,32812,59,885,33.85,30.36,100
0.2275,30044,32800,79,806,33.85,30.36,100
0.2300,30064,32796,88,888,33.85,30.36,100
0.2325,30040,32803,80,992,33.85,30.36,100
0.2350,30049,32812,83,1045,33.85,30.36,100
0.2375,30040,32797,80,1125,33.85,30.36,100
0.2400,30065,32756,102,1094,33.85,30.36,100
0.2425,30064,32743,101,924,33.85,30.36,100
0.2450,30064,32755,89,886,33.85,30.36,100
0.2475,30060,32775,73,770,33.85,30.36,100
0.2500,30036,32756,71,877,33.85,30.36,100
0.2525,30039,32763,85,1001,33.85,30.36,100
0.2550,30031,32756,93,1001,33.85,30.36,100
0.2575,30007,32733,104,572,33.85,30.36,100
0.2600,30157,33027,79,904,33.85,30.36,100
0.2625,30146,33030,59,1266,33.85,30.36,100
0.2650,30010,32752,78,1088,33.85,30.36,100
0.2675,30041,32732,62,988,33.85,30.36,100
0.2700,30033,32704,61,898,33.85,30.36,100
0.2725,30027,32712,63,985,33.85,30.36,100
0.2750,30024,32723,91,1008,33.85,30.36,100
0.2775,30027,32746,116,1009,33.85,30.36,100
0.2800,30029,32734,106,1157,33.85,30.36,100
0.2825,30045,32743,86,944,33.85,30.36,100
0.2850,30046,32723,78,868,33.85,30.36,100
0.2875,30034,32726,65,819,33.85,30.36,100
0.2900,29995,32758,85,809,33.85,30.36,100
0.2925,30010,32733,85,944,33.85,30.36,100
0.2950,30040,32693,105,964,33.85,30.36,100
0.2975,30028,32693,91,1044,33.85,30.36,100
0.3000,30023,32719,67,1059,33.85,30.36,100
0.3025,30032,32718,62,889,33.85,30.36,100
0.3050,30041,32712,73,881,33.85,30.36,100
0.3075,30060,32712,75,773,33.85,30.36,100
0.3100,30023,32717,90,824,33.85,30.36,100
0.3125,29983,32726,86,966,33.85,30.36,100
0.3150,29987,32745,82,988,33.85,30.36,100
0.3175,30001,32712,92,1105,33.85,30.36,100
0.3200,30011,32680,98,1069,33.85,30.36,100
0.3225,30010,32678,112,896,33.85,30.36,100
0.3250,30012,32687,91,867,33.85,30.36,100
0.3275,30009,32699,61,736,33.85,30.36,100
0.3300,30003,32700,82,890,33.85,30.36,100
0.3325,30017,32691,83,1020,33.85,30.36,100
0.3350,30020,32707,86,1027,33.85,30.36,100
0.3375,30012,32728,77,1138,33.85,30.36,100
0.3400,30010,32709,91,1040,33.85,30.36,100
0.3425,30028,32665,81,892,33.85,30.36,100
0.3450,30048,32653,101,900,33.85,30.36,100
0.3475,30034,32678,92,776,33.85,30.36,100
0.3500,30045,32695,70,888,33.85,30.36,100
0.3525,30028,32709,68,1014,33.85,30.36,100
0.3550,30028,32697,95,1026,33.85,30.36,100
0.3575,30020,32707,89,1125,33.85,30.36,100
0.3600,29998,32711,83,1125,33.85,30.36,100
0.3625,29995,32695,107,536,33.85,30.36,100
0.3650,30046,32723,78,1092,33.85,30.36,100
0.3675,30008,32738,71,954,33.85,30.36,100
0.3700,30019,32710,59,872,33.85,30.36,100
0.3725,30025,32718,66,1004,33.85,30.36,100
0.3750,30021,32737,79,1032,33.85,30.36,100
0.3775,30025,32766,110,1073,33.85,30.36,100
0.3800,30036,32752,113,1081,33.85,30.36,100
0.3825,30053,32741,107,914,33.85,30.36,100
0.3850,30058,32744,65,858,33.85,30.36,100
0.3875,30044,32774,64,790,33.85,30.36,100
0.3900,30004,32798,73,836,33.85,30.36,100
0.3925,30001,32798,80,965,33.85,30.36,100
0.3950,30032,32778,92,994,33.85,30.36,100
0.3975,30044,32758,103,1100,33.85,30.36,100
0.4000,30045,32777,83,1080,33.85,30.36,100
0.4025,30047,32791,82,912,33.85,30.36,100
0.4050,30045,32807,66,853,33.85,30.36,100
0.4075,30074,32807,65,773,33.85,30.36,100
0.4100,30075,32808,88,828,33.85,30.36,100
0.4125,30050,32821,79,969,33.85,30.36,100
0.4150,30024,32837,86,976,33.85,30.36,100
0.4175,30049,32838,83,1128,33.85,30.36,100
0.4200,30068,32797,102,1029,33.85,30.36,100
0.4225,30081,32804,100,885,33.85,30.36,100
0.4250,30050,32830,99,892,33.85,30.36,100
0.4275,30058,32849,68,787,33.85,30.36,100
0.4300,30056,32838,70,916,33.85,30.36,100
0.4325,30068,32845,97,983,33.85,30.36,100
0.4350,30056,32853,71,992,33.85,30.36,100
0.4375,30059,32880,80,1162,33.85,30.36,100
0.4400,30069,32876,95,976,33.85,30.36,100
0.4425,30069,32862,92,888,33.85,30.36,100
0.4450,30061,32820,91,901,33.85,30.36,100
0.4475,30084,32829,103,803,33.85,30.36,100
0.4500,30103,32860,91,917,33.85,30.36,100
0.4525,30106,32878,54,998,33.85,30.36,100
0.4550,30091,32879,60,1002,33.85,30.36,100
0.4575,30081,32875,76,1160,33.85,30.36,100
0.4600,30079,32878,93,1160,33.85,30.36,100
0.4625,30063,32857,103,525,33.85,30.36,100
0.4650,30058,32744,65,629,33.85,30.36,100
0.4675,30044,32774,64,1136,33.85,30.36,100
0.4700,30059,32914,80,976,33.85,30.36,100
0.4725,30073,32891,76,1043,33.85,30.36,100
0.4750,30079,32863,70,1024,33.85,30.36,100
0.4775,30081,32871,116,1088,33.85,30.36,100
0.4800,30084,32896,81,1044,33.85,30.36,100
0.4825,30093,32906,80,905,33.85,30.36,100
0.4850,30085,32919,67,845,33.85,30.36,100
0.4875,30114,32906,77,808,33.85,30.36,100
0.4900,30114,32898,80,826,33.85,30.36,100
0.4925,30076,32936,59,963,33.85,30.36,100
0.4950,30060,32942,66,976,33.85,30.36,100
0.4975,30084,32918,82,1112,33.85,30.36,100
0.5000,30084,32907,87,1036,33.85,30.36,100
0.5025,30112,32897,112,876,33.85,30.36,100
0.5050,30091,32906,88,876,33.85,30.36,100
0.5075,30105,32937,60,774,33.85,30.36,100
0.5100,30109,32935,65,854,33.85,30.36,100
0.5125,30120,32933,86,992,33.85,30.36,100
0.5150,30112,32937,93,993,33.85,30.36,100
0.5175,30073,32942,83,1169,33.85,30.36,100
0.5200,30070,32941,90,1000,33.85,30.36,100
0.5225,30102,32939,89,892,33.85,30.36,100
0.5250,30096,32920,103,900,33.85,30.36,100
0.5275,30098,32939,93,812,33.85,30.36,100
0.5300,30103,32947,88,906,33.85,30.36,100
0.5325,30101,32941,58,977,33.85,30.36,100
0.5350,30127,32956,77,974,33.85,30.36,100
0.5375,30103,32961,102,1184,33.85,30.36,100
0.5400,30108,32973,78,985,33.85,30.36,100
0.5425,30136,33002,62,892,33.85,30.36,100
0.5450,30111,32968,70,907,33.85,30.36,100
0.5475,30118,32938,102,848,33.85,30.36,100
0.5500,30135,32944,115,968,33.85,30.36,100
0.5525,30148,32963,88,1012,33.85,30.36,100
0.5550,30132,32981,89,1008,33.85,30.36,100
0.5575,30118,32972,65,1176,33.85,30.36,100
0.5600,30126,32964,71,912,33.85,30.36,100
0.5625,30106,32962,88,912,33.85,30.36,100
0.5650,30107,32958,128,449,33.85,30.36,100
0.5675,30114,32906,77,512,33.85,30.36,100
0.5700,30114,32898,80,1112,33.85,30.36,100
0.5725,30106,33004,85,1145,33.85,30.36,100
0.5750,30111,32977,50,1100,33.85,30.36,100
0.5775,30117,32961,91,1188,33.85,30.36,100
0.5800,30131,32983,74,1077,33.85,30.36,100
0.5825,30106,33016,80,920,33.85,30.36,100
0.5850,30118,32992,72,868,33.85,30.36,100
0.5875,30145,33004,83,816,33.85,30.36,100
0.5900,30119,33003,59,876,33.85,30.36,100
0.5925,30114,33033,89,1008,33.85,30.36,100
0.5950,30117,33007,88,1000,33.85,30.36,100
0.5975,30124,32999,96,1153,33.85,30.36,100
0.6000,30139,33000,96,996,33.85,30.36,100
0.6025,30130,33032,87,888,33.85,30.36,100
0.6050,30136,33038,52,890,33.85,30.36,100
0.6075,30161,33021,85,822,33.85,30.36,100
0.6100,30152,33016,92,924,33.85,30.36,100
0.6125,30124,33035,95,1024,33.85,30.36,100
0.6150,30091,33065,89,956,33.85,30.36,100
0.6175,30123,33032,93,1132,33.85,30.36,100
0.6200,30147,32993,108,985,33.85,30.36,100
0.6225,30134,33047,112,900,33.85,30.36,100
0.6250,30139,33042,79,874,33.85,30.36,100
0.6275,30125,33055,74,865,33.85,30.36,100
0.6300,30138,33041,73,965,33.85,30.36,100
0.6325,30143,33040,82,1020,33.85,30.36,100
0.6350,30133,33080,100,1013,33.85,30.36,100
0.6375,30136,33081,80,1176,33.85,30.36,100
0.6400,30143,33054,87,980,33.85,30.36,100
0.6425,30165,33025,92,905,33.85,30.36,100
0.6450,30177,33026,100,868,33.85,30.36,100
0.6475,30164,33049,95,869,33.85,30.36,100
0.6500,30153,33052,64,1005,33.85,30.36,100
0.6525,30151,33058,77,1046,33.85,30.36,100
0.6550,30150,33053,89,1147,33.85,30.36,100
0.6575,30132,33074,84,1147,33.85,30.36,100
0.6600,30122,33045,92,620,33.85,30.36,100
0.6625,30106,33016,80,1148,33.85,30.36,100
0.6650,30118,32992,72,1040,33.85,30.36,100
0.6675,30133,33078,78,866,33.85,30.36,100
0.6700,30146,33045,64,924,33.85,30.36,100
0.6725,30148,33042,100,1006,33.85,30.36,100
0.6750,30151,33063,86,1008,33.85,30.36,100
0.6775,30155,33080,98,1174,33.85,30.36,100
0.6800,30142,33100,119,1018,33.85,30.36,100
0.6825,30148,33078,87,909,33.85,30.36,100
0.6850,30167,33087,84,876,33.85,30.36,100
0.6875,30162,33088,52,821,33.85,30.36,100
0.6900,30129,33094,73,905,33.85,30.36,100
0.6925,30144,33106,79,977,33.85,30.36,100
0.6950,30136,33071,82,970,33.85,30.36,100
