Time (s),PPG_Red,PPG_IR,PPG_Green,ECG,Temp_Ambient,Temp_Object,SpO2_Ground_Truth
0.0000,29547,30867,81,882,34.86,30.23,98
0.0025,29529,30810,73,888,34.86,30.23,98
0.0050,29556,30769,111,760,34.86,30.23,98
0.0075,29549,30777,113,906,34.86,30.23,98
0.0100,29555,30786,85,1024,34.86,30.23,98
0.0125,29548,30825,52,961,34.86,30.23,98
0.0150,29542,30798,60,1141,34.86,30.23,98
0.0175,29540,30806,75,896,34.86,30.23,98
0.0200,29523,30795,97,896,34.86,30.23,98
0.0225,29528,30779,103,430,34.86,30.23,98
0.0250,29540,30833,83,590,34.86,30.23,98
0.0275,29525,30847,75,1045,34.86,30.23,98
0.0300,29501,30825,73,1108,34.86,30.23,98
0.0325,29510,30805,69,1089,34.86,30.23,98
0.0350,29523,30767,80,1088,34.86,30.23,98
0.0375,29519,30773,80,1125,34.86,30.23,98
0.0400,29548,30781,88,952,34.86,30.23,98
0.0425,29521,30800,93,853,34.86,30.23,98
0.0450,29531,30809,109,732,34.86,30.23,98
0.0475,29546,30798,94,824,34.86,30.23,98
0.0500,29564,30805,69,960,34.86,30.23,98
0.0525,29524,30812,55,976,34.86,30.23,98
0.0550,29498,30829,71,1098,34.86,30.23,98
0.0575,29512,30829,83,1017,34.86,30.23,98
0.0600,29535,30784,104,880,34.86,30.23,98
0.0625,29525,30798,95,853,34.86,30.23,98
0.0650,29528,30803,66,729,34.86,30.23,98
0.0675,29513,30819,56,826,34.86,30.23,98
0.0700,29532,30805,45,973,34.86,30.23,98
0.0725,29550,30825,81,992,34.86,30.23,98
0.0750,29536,30802,94,1197,34.86,30.23,98
0.0775,29500,30815,84,1024,34.86,30.23,98
0.0800,29491,30827,79,840,34.86,30.23,98
0.0825,29489,30833,82,843,34.86,30.23,98
0.0850,29519,30789,110,755,34.86,30.23,98
0.0875,29520,30778,115,880,34.86,30.23,98
0.0900,29514,30794,114,1040,34.86,30.23,98
0.0925,29517,30807,77,976,34.86,30.23,98
0.0950,29517,30804,66,1160,34.86,30.23,98
0.0975,29528,30801,85,932,34.86,30.23,98
0.1000,29521,30813,73,844,34.86,30.23,98
0.1025,29533,30843,72,852,34.86,30.23,98
0.1050,29527,30834,89,809,34.86,30.23,98
0.1075,29543,30805,102,928,34.86,30.23,98
0.1100,29540,30774,96,1000,34.86,30.23,98
0.1125,29526,30795,103,980,34.86,30.23,98
0.1150,29545,30803,85,1161,34.86,30.23,98
0.1175,29546,30815,57,928,34.86,30.23,98
0.1200,29545,30804,73,848,34.86,30.23,98
0.1225,29518,30807,104,714,34.86,30.23,98
0.1250,29518,30799,93,714,34.86,30.23,98
0.1275,29508,30799,106,412,34.86,30.23,98
0.1300,29564,30805,69,741,34.86,30.23,98
0.1325,29524,30812,55,1353,34.86,30.23,98
0.1350,29506,30794,76,1376,34.86,30.23,98
0.1375,29508,30759,66,1172,34.86,30.23,98
0.1400,29512,30749,92,936,34.86,30.23,98
0.1425,29503,30749,77,868,34.86,30.23,98
0.1450,29512,30777,86,824,34.86,30.23,98
0.1475,29514,30769,107,860,34.86,30.23,98
0.1500,29525,30788,87,1012,34.86,30.23,98
0.1525,29532,30755,81,1016,34.86,30.23,98
0.1550,29507,30769,58,1201,34.86,30.23,98
0.1575,29492,30787,101,1037,34.86,30.23,98
0.1600,29492,30760,81,844,34.86,30.23,98
0.1625,29481,30769,103,846,34.86,30.23,98
0.1650,29504,30724,111,750,34.86,30.23,98
0.1675,29486,30731,94,892,34.86,30.23,98
0.1700,29497,30768,56,1046,34.86,30.23,98
0.1725,29508,30765,70,1001,34.86,30.23,98
0.1750,29526,30766,73,1192,34.86,30.23,98
0.1775,29526,30799,110,912,34.86,30.23,98
0.1800,29511,30762,74,832,34.86,30.23,98
0.1825,29470,30781,116,841,34.86,30.23,98
0.1850,29481,30802,92,785,34.86,30.23,98
0.1875,29512,30789,94,916,34.86,30.23,98
0.1900,29521,30778,106,992,34.86,30.23,98
0.1925,29519,30786,111,971,34.86,30.23,98
0.1950,29514,30801,75,1176,34.86,30.23,98
0.1975,29518,30795,64,932,34.86,30.23,98
0.2000,29527,30801,79,848,34.86,30.23,98
0.2025,29533,30815,90,860,34.86,30.23,98
0.2050,29525,30827,95,867,34.86,30.23,98
0.2075,29529,30839,83,996,34.86,30.23,98
0.2100,29529,30827,80,1045,34.86,30.23,98
0.2125,29531,30807,88,985,34.86,30.23,98
0.2150,29549,30790,110,1152,34.86,30.23,98
0.2175,29536,30797,97,901,34.86,30.23,98
0.2200,29543,30821,71,849,34.86,30.23,98
0.2225,29533,30819,77,824,34.86,30.23,98
0.2250,29515,30810,87,857,34.86,30.23,98
0.2275,29510,30808,73,857,34.86,30.23,98
0.2300,29500,30787,103,577,34.86,30.23,98
0.2325,29532,30755,81,1216,34.86,30.23,98
0.2350,29502,30848,81,1290,34.86,30.23,98
0.2375,29503,30819,82,1049,34.86,30.23,98
0.2400,29500,30805,67,877,34.86,30.23,98
0.2425,29511,30801,64,880,34.86,30.23,98
0.2450,29525,30816,79,784,34.86,30.23,98
0.2475,29517,30824,89,918,34.86,30.23,98
0.2500,29535,30829,98,1005,34.86,30.23,98
0.2525,29552,30828,91,1000,34.86,30.23,98
0.2550,29552,30825,71,1173,34.86,30.23,98
0.2575,29510,30869,75,948,34.86,30.23,98
0.2600,29501,30847,84,844,34.86,30.23,98
0.2625,29537,30821,94,853,34.86,30.23,98
0.2650,29533,30794,100,813,34.86,30.23,98
0.2675,29518,30790,101,986,34.86,30.23,98
0.2700,29523,30832,64,1024,34.86,30.23,98
0.2725,29524,30829,80,960,34.86,30.23,98
0.2750,29548,30818,68,1168,34.86,30.23,98
0.2775,29545,30797,82,917,34.86,30.23,98
0.2800,29520,30808,84,824,34.86,30.23,98
0.2825,29487,30862,76,836,34.86,30.23,98
0.2850,29494,30819,89,853,34.86,30.23,98
0.2875,29502,30803,91,1000,34.86,30.23,98
0.2900,29495,30772,132,1036,34.86,30.23,98
0.2925,29508,30783,87,995,34.86,30.23,98
0.2950,29512,30800,69,1133,34.86,30.23,98
0.2975,29494,30787,63,949,34.86,30.23,98
0.3000,29508,30774,79,880,34.86,30.23,98
0.3025,29491,30767,93,816,34.86,30.23,98
0.3050,29491,30790,78,889,34.86,30.23,98
0.3075,29497,30790,97,1032,34.86,30.23,98
0.3100,29477,30744,74,1012,34.86,30.23,98
0.3125,29496,30698,88,1102,34.86,30.23,98
0.3150,29481,30675,104,1138,34.86,30.23,98
0.3175,29476,30670,101,950,34.86,30.23,98
0.3200,29458,30679,90,867,34.86,30.23,98
0.3225,29448,30670,59,729,34.86,30.23,98
0.3250,29435,30657,75,868,34.86,30.23,98
0.3275,29395,30642,92,868,34.86,30.23,98
0.3300,29411,30628,100,603,34.86,30.23,98
0.3325,29552,30828,91,756,34.86,30.23,98
0.3350,29552,30825,71,1540,34.86,30.23,98
