Time (s),PPG_Red,PPG_IR,PPG_Green,ECG,Temp_Ambient,Temp_Object,SpO2_Ground_Truth
0.0000,29296,31224,81,1216,33.26,30.57,97
0.0025,29307,31209,76,1013,33.26,30.57,97
0.0050,29323,31190,87,884,33.26,30.57,97
0.0075,29314,31165,114,892,33.26,30.57,97
0.0100,29311,31194,77,837,33.26,30.57,97
0.0125,29326,31214,52,992,33.26,30.57,97
0.0150,29335,31204,65,1036,33.26,30.57,97
0.0175,29325,31197,92,979,33.26,30.57,97
0.0200,29323,31242,80,1180,33.26,30.57,97
0.0225,29319,31278,87,945,33.26,30.57,97
0.0250,29320,31252,75,860,33.26,30.57,97
0.0275,29341,31234,103,824,33.26,30.57,97
0.0300,29352,31228,101,840,33.26,30.57,97
0.0325,29377,31256,75,1028,33.26,30.57,97
0.0350,29365,31280,57,998,33.26,30.57,97
0.0375,29358,31266,78,1057,33.26,30.57,97
0.0400,29344,31294,87,1048,33.26,30.57,97
0.0425,29335,31303,99,1048,33.26,30.57,97
0.0450,29341,31291,97,476,33.26,30.57,97
0.0475,29335,31185,96,1106,33.26,30.57,97
0.0500,29349,31180,82,882,33.26,30.57,97
0.0525,29352,31360,72,960,33.26,30.57,97
0.0550,29381,31341,73,1040,33.26,30.57,97
0.0575,29404,31362,81,987,33.26,30.57,97
0.0600,29380,31385,60,1176,33.26,30.57,97
0.0625,29400,31401,89,981,33.26,30.57,97
0.0650,29395,31413,98,864,33.26,30.57,97
0.0675,29408,31414,96,861,33.26,30.57,97
0.0700,29435,31433,98,821,33.26,30.57,97
0.0725,29418,31446,64,956,33.26,30.57,97
0.0750,29390,31468,75,1018,33.26,30.57,97
0.0775,29396,31477,79,1008,33.26,30.57,97
0.0800,29401,31455,94,1197,33.26,30.57,97
0.0825,29424,31474,96,969,33.26,30.57,97
0.0850,29415,31446,80,875,33.26,30.57,97
0.0875,29420,31493,63,876,33.26,30.57,97
0.0900,29434,31481,55,837,33.26,30.57,97
0.0925,29464,31484,70,981,33.26,30.57,97
