record,start_seconds,end_seconds,spo2_ref,spo2_est,pi_red,pi_ir,ppg_hr
s9_sit,190.0,220.0,98.5,98.39,0.05,0.14,68.66
s9_sit,200.0,230.0,98.5,98.31,0.05,0.15,65.89
s9_sit,210.0,240.0,98.5,98.2,0.07,0.16,68.68
s9_sit,220.0,250.0,98.5,98.31,0.07,0.18,68.41
s9_sit,230.0,260.0,98.5,98.29,0.07,0.17,71.81
s9_sit,240.0,270.0,98.5,98.28,0.06,0.17,72.24
s9_sit,250.0,280.0,98.5,98.14,0.06,0.14,75.01
s9_sit,260.0,290.0,98.5,98.12,0.07,0.15,69.89
s9_sit,270.0,300.0,98.5,98.06,0.08,0.16,68.07
s9_sit,280.0,310.0,98.5,98.17,0.08,0.18,68.66
s9_sit,290.0,320.0,98.5,98.14,0.08,0.18,72.72
s9_sit,300.0,330.0,98.5,98.2,0.08,0.19,74.47
s9_sit,310.0,340.0,98.5,98.17,0.08,0.19,72.74
s9_sit,320.0,350.0,98.5,98.19,0.08,0.19,72.8
s9_sit,330.0,360.0,98.5,98.12,0.08,0.19,70.46
s9_sit,340.0,370.0,98.5,98.14,0.08,0.18,69.77
s9_sit,350.0,380.0,98.5,98.14,0.07,0.17,74.5
s9_sit,360.0,390.0,98.5,98.15,0.06,0.15,76.87
s9_sit,370.0,400.0,98.5,98.05,0.07,0.15,74.2
s9_sit,380.0,410.0,98.5,98.08,0.07,0.15,65.44
s9_sit,390.0,420.0,98.5,97.95,0.09,0.16,66.75
s9_sit,400.0,430.0,98.5,98.05,0.08,0.16,71.75
s9_sit,410.0,440.0,98.5,98.12,0.08,0.18,78.91
s9_sit,420.0,450.0,98.5,98.17,0.08,0.18,79.64
s9_sit,430.0,460.0,98.5,98.17,0.07,0.17,79.06
s9_sit,440.0,470.0,98.5,98.14,0.07,0.17,75.62
s9_sit,450.0,480.0,98.5,98.12,0.07,0.17,77.7
s9_sit,456.832,486.832,98.5,98.18,0.08,0.18,74.9
