Time (s),PPG_Red,PPG_IR,PPG_Green,ECG,Temp_Ambient,Temp_Object
0.0000,29990,33721,90,1400,23.23,23.58
0.0025,29986,33724,80,1753,23.23,23.58
0.0050,29998,33729,82,1433,23.23,23.58
0.0075,29993,33735,88,1099,23.23,23.58
0.0100,30004,33726,85,949,23.23,23.58
0.0125,29993,33731,94,925,23.23,23.58
0.0150,29999,33729,93,862,23.23,23.58
0.0175,30000,33722,86,858,23.23,23.58
0.0200,30005,33739,87,1337,23.23,23.58
0.0225,29990,33713,83,1832,23.23,23.58
0.0250,29994,33730,87,1546,23.23,23.58
0.0275,30003,33744,72,828,23.23,23.58
0.0300,30008,33750,89,869,23.23,23.58
0.0325,30010,33756,83,936,23.23,23.58
0.0350,29998,33757,79,930,23.23,23.58
0.0375,30003,33748,78,1052,23.23,23.58
0.0400,30004,33755,83,1452,23.23,23.58
0.0425,30002,33747,76,1888,23.23,23.58
0.0450,29998,33742,96,1730,23.23,23.58
0.0475,29999,33734,103,771,23.23,23.58
0.0500,30000,33723,86,582,23.23,23.58
0.0525,29997,33722,86,891,23.23,23.58
0.0550,29990,33736,87,1147,23.23,23.58
0.0575,29989,33737,72,1384,23.23,23.58
0.0600,29993,33748,90,1680,23.23,23.58
0.0625,29999,33746,82,1861,23.23,23.58
0.0650,29997,33738,78,1644,23.23,23.58
0.0675,29996,33738,85,917,23.23,23.58
0.0700,29998,33741,79,978,23.23,23.58
0.0725,29993,33735,73,986,23.23,23.58
0.0750,29990,33717,97,992,23.23,23.58
0.0775,29992,33725,92,1161,23.23,23.58
0.0800,29992,33728,82,1486,23.23,23.58
0.0825,29995,33733,94,1825,23.23,23.58
0.0850,29991,33719,79,1657,23.23,23.58
0.0875,29994,33743,79,1073,23.23,23.58
0.0900,29983,33733,74,958,23.23,23.58
0.0925,29994,33729,79,999,23.23,23.58
0.0950,29996,33741,75,1051,23.23,23.58
0.0975,29993,33736,73,1231,23.23,23.58
0.1000,29997,33735,73,1613,23.23,23.58
0.1025,29993,33729,78,1863,23.23,23.58
0.1050,29998,33739,88,1530,23.23,23.58
0.1075,29995,33745,84,749,23.23,23.58
0.1100,29993,33721,101,809,23.23,23.58
0.1125,29987,33724,89,1117,23.23,23.58
0.1150,29991,33716,96,1032,23.23,23.58
0.1175,30001,33731,101,966,23.23,23.58
0.1200,30001,33718,82,1398,23.23,23.58
0.1225,30005,33737,81,1854,23.23,23.58
0.1250,30006,33747,89,1612,23.23,23.58
0.1275,30000,33753,79,922,23.23,23.58
0.1300,30002,33755,78,904,23.23,23.58
0.1325,29999,33761,89,1144,23.23,23.58
0.1350,30006,33757,79,997,23.23,23.58
0.1375,30006,33742,97,1150,23.23,23.58
0.1400,30004,33746,99,1657,23.23,23.58
0.1425,30007,33757,94,1946,23.23,23.58
0.1450,30000,33743,74,1656,23.23,23.58
0.1475,30002,33756,81,1073,23.23,23.58
0.1500,30011,33743,97,832,23.23,23.58
0.1525,30001,33768,83,1045,23.23,23.58
0.1550,29998,33763,81,1095,23.23,23.58
0.1575,30012,33760,83,1149,23.23,23.58
0.1600,30012,33765,78,1512,23.23,23.58
0.1625,29999,33780,81,1940,23.23,23.58
0.1650,30002,33768,87,1554,23.23,23.58
0.1675,30014,33772,68,1057,23.23,23.58
0.1700,30000,33747,99,867,23.23,23.58
0.1725,30007,33765,100,975,23.23,23.58
0.1750,30004,33743,102,1076,23.23,23.58
0.1775,30005,33749,79,1145,23.23,23.58
0.1800,30000,33754,74,1710,23.23,23.58
0.1825,30001,33762,82,1888,23.23,23.58
0.1850,30017,33764,81,1389,23.23,23.58
0.1875,30002,33762,88,1042,23.23,23.58
0.1900,30008,33761,82,920,23.23,23.58
0.1925,30002,33758,78,1066,23.23,23.58
0.1950,30001,33767,86,1020,23.23,23.58
0.1975,30002,33767,90,1015,23.23,23.58
0.2000,30009,33762,84,1753,23.23,23.58
0.2025,29994,33749,95,1985,23.23,23.58
0.2050,29996,33757,82,1585,23.23,23.58
0.2075,29996,33751,87,1077,23.23,23.58
0.2100,30013,33749,86,745,23.23,23.58
0.2125,30008,33760,78,794,23.23,23.58
0.2150,30002,33769,86,1007,23.23,23.58
0.2175,30005,33767,78,1228,23.23,23.58
0.2200,30007,33769,88,1740,23.23,23.58
0.2225,30011,33768,89,1856,23.23,23.58
0.2250,30016,33778,81,1422,23.23,23.58
0.2275,30005,33773,82,1130,23.23,23.58
0.2300,30016,33772,81,876,23.23,23.58
0.2325,30005,33772,100,980,23.23,23.58
0.2350,30008,33757,99,1049,23.23,23.58
0.2375,30007,33766,103,1156,23.23,23.58
0.2400,30008,33777,70,1756,23.23,23.58
0.2425,30004,33764,78,1945,23.23,23.58
0.2450,30017,33782,76,1509,23.23,23.58
0.2475,30004,33780,87,1094,23.23,23.58
0.2500,30011,33780,85,921,23.23,23.58
0.2525,30013,33791,83,1018,23.23,23.58
0.2550,30018,33783,77,961,23.23,23.58
0.2575,30015,33777,94,1082,23.23,23.58
0.2600,30011,33785,84,1530,23.23,23.58
0.2625,30008,33771,103,1737,23.23,23.58
0.2650,30014,33760,92,1298,23.23,23.58
0.2675,30010,33744,100,957,23.23,23.58
0.2700,29980,33785,63,1140,23.23,23.58
0.2725,29984,33795,78,1268,23.23,23.58
0.2750,29987,33800,75,1104,23.23,23.58
0.2775,30008,33768,76,1215,23.23,23.58
0.2800,30034,33765,87,1890,23.2,23.63
0.2825,30006,33766,83,1890,23.2,23.63
0.2850,30021,33786,72,1228,23.2,23.63
0.2875,30008,33747,86,785,23.2,23.63
0.2900,29997,33760,90,976,23.2,23.63
0.2925,29995,33797,80,1090,23.2,23.63
0.2950,30028,33766,60,943,23.2,23.63
0.2975,30016,33772,88,1207,23.2,23.63
0.3000,30005,33768,80,1763,23.2,23.63
0.3025,30002,33759,85,1906,23.2,23.63
0.3050,29998,33738,88,1546,23.2,23.63
0.3075,30004,33767,57,925,23.2,23.63
0.3100,30016,33772,81,1070,23.2,23.63
0.3125,30005,33772,100,1195,23.2,23.63
0.3150,30006,33739,85,1121,23.2,23.63
0.3175,30018,33740,97,1102,23.2,23.63
0.3200,29996,33759,85,1640,23.2,23.63
0.3225,29996,33767,90,1907,23.2,23.63
0.3250,29990,33766,86,1509,23.2,23.63
0.3275,30007,33750,86,949,23.2,23.63
0.3300,30005,33757,83,745,23.2,23.63
