Time (s),PPG_Red,PPG_IR,PPG_Green,ECG,Temp_Ambient,Temp_Object
0.0000,29414,32997,74,56,23.1,23.69
0.0025,29394,33003,98,385,23.1,23.69
0.0050,29409,33001,91,810,23.1,23.69
0.0075,29405,32985,89,2288,23.1,23.69
0.0100,29410,32972,88,3464,23.1,23.69
0.0125,29407,33002,91,2726,23.1,23.69
0.0150,29409,33000,90,1073,23.1,23.69
0.0175,29407,32994,79,160,23.1,23.69
0.0200,29416,32995,78,42,23.1,23.69
0.0225,29405,33002,85,508,23.1,23.69
0.0250,29407,32995,87,917,23.1,23.69
0.0275,29408,33007,75,2265,23.1,23.69
0.0300,29406,32991,80,3428,23.1,23.69
0.0325,29403,32996,88,2795,23.1,23.69
0.0350,29400,32986,92,1105,23.1,23.69
0.0375,29398,32979,90,157,23.1,23.69
0.0400,29402,32982,95,64,23.1,23.69
0.0425,29402,32982,79,506,23.1,23.69
0.0450,29404,32973,79,1035,23.1,23.69
0.0475,29405,32991,84,2180,23.1,23.69
0.0500,29389,32993,96,3331,23.1,23.69
0.0525,29388,32997,89,2690,23.1,23.69
0.0550,29402,32989,77,1002,23.1,23.69
0.0575,29399,32987,79,166,23.1,23.69
0.0600,29407,32983,74,39,23.1,23.69
0.0625,29395,32971,94,328,23.1,23.69
0.0650,29398,32970,92,847,23.1,23.69
0.0675,29387,32967,82,2185,23.1,23.69
0.0700,29396,32965,97,3424,23.1,23.69
0.0725,29391,32978,86,2816,23.1,23.69
0.0750,29394,32973,92,997,23.1,23.69
0.0775,29401,32978,98,83,23.1,23.69
0.0800,29387,32962,81,138,23.1,23.69
0.0825,29368,33003,71,606,23.1,23.69
0.0850,29415,32970,88,1166,23.1,23.69
0.0875,29404,32971,72,2886,23.1,23.69
0.0900,29401,32963,74,3504,23.1,23.69
0.0925,29383,32971,45,1912,23.1,23.69
0.0950,29396,32961,66,555,23.1,23.69
0.0975,29396,32933,90,89,23.1,23.69
0.1000,29366,32968,89,52,23.1,23.69
0.1025,29383,32966,70,680,23.1,23.69
0.1050,29410,32942,64,1185,23.1,23.69
0.1075,29389,32950,71,2864,23.1,23.69
0.1100,29380,32932,84,3354,23.1,23.69
0.1125,29383,32909,88,2682,23.1,23.69
0.1150,29363,32938,69,576,23.1,23.69
0.1175,29356,32958,71,159,23.1,23.69
