Time (s),PPG_Red,PPG_IR,PPG_Green,ECG,Temp_Ambient,Temp_Object
0.0000,29250,33292,85,2179,22.14,23.08
0.0025,29241,33289,89,1781,22.14,23.08
0.0050,29256,33288,87,1030,22.14,23.08
0.0075,29251,33275,77,477,22.14,23.08
0.0100,29240,33269,85,750,22.14,23.08
0.0125,29241,33271,77,1129,22.14,23.08
0.0150,29245,33276,90,1276,22.14,23.08
0.0175,29244,33275,78,1899,22.14,23.08
0.0200,29237,33282,80,2336,22.14,23.08
0.0225,29238,33276,84,1604,22.14,23.08
0.0250,29237,33278,101,780,22.14,23.08
0.0275,29230,33274,81,711,22.14,23.08
0.0300,29233,33274,78,1175,22.14,23.08
0.0325,29234,33271,87,1130,22.14,23.08
0.0350,29222,33268,83,1118,22.14,23.08
0.0375,29226,33263,90,1786,22.14,23.08
0.0400,29235,33246,86,2096,22.14,23.08
0.0425,29229,33233,85,1320,22.14,23.08
0.0450,29227,33246,99,722,22.14,23.08
0.0475,29228,33243,89,578,22.14,23.08
0.0500,29225,33237,87,900,22.14,23.08
0.0525,29222,33239,76,1232,22.14,23.08
0.0550,29207,33241,93,1182,22.14,23.08
0.0575,29215,33249,84,1673,22.14,23.08
0.0600,29210,33233,81,2085,22.14,23.08
0.0625,29219,33234,80,1755,22.14,23.08
0.0650,29211,33220,85,994,22.14,23.08
0.0675,29203,33212,82,543,22.14,23.08
0.0700,29209,33214,75,665,22.14,23.08
0.0725,29195,33196,92,1115,22.14,23.08
0.0750,29183,33180,85,1227,22.14,23.08
0.0775,29193,33172,93,1836,22.14,23.08
0.0800,29185,33176,87,2179,22.14,23.08
0.0825,29182,33189,71,1591,22.14,23.08
0.0850,29184,33167,78,945,22.14,23.08
0.0875,29199,33184,82,662,22.14,23.08
0.0900,29182,33167,91,806,22.14,23.08
0.0925,29185,33170,77,1032,22.14,23.08
0.0950,29181,33164,90,1292,22.14,23.08
0.0975,29180,33142,99,1802,22.14,23.08
0.1000,29183,33161,90,2078,22.14,23.08
0.1025,29184,33146,93,1581,22.14,23.08
0.1050,29183,33155,83,686,22.14,23.08
0.1075,29174,33145,89,649,22.14,23.08
0.1100,29174,33140,89,982,22.14,23.08
0.1125,29182,33145,89,1006,22.14,23.08
0.1150,29172,33155,84,1416,22.14,23.08
0.1175,29183,33151,91,1900,22.14,23.08
0.1200,29183,33148,72,2090,22.14,23.08
0.1225,29174,33145,82,1458,22.14,23.08
0.1250,29177,33155,73,603,22.14,23.08
0.1275,29183,33149,78,669,22.14,23.08
0.1300,29174,33150,80,1060,22.14,23.08
0.1325,29176,33142,90,977,22.14,23.08
0.1350,29176,33152,90,1236,22.14,23.08
0.1375,29173,33143,84,1705,22.14,23.08
0.1400,29168,33125,87,1984,22.14,23.08
0.1425,29174,33137,90,1624,22.14,23.08
0.1450,29172,33152,79,745,22.14,23.08
0.1475,29173,33166,75,705,22.14,23.08
0.1500,29171,33143,75,1121,22.14,23.08
0.1525,29178,33144,76,1174,22.14,23.08
0.1550,29184,33149,93,1422,22.14,23.08
0.1575,29171,33149,84,1869,22.14,23.08
0.1600,29174,33151,88,1958,22.14,23.08
0.1625,29165,33142,88,1554,22.14,23.08
0.1650,29165,33127,93,641,22.14,23.08
0.1675,29170,33128,85,551,22.14,23.08
0.1700,29172,33137,82,934,22.14,23.08
0.1725,29172,33139,96,1147,22.14,23.08
0.1750,29174,33142,95,1405,22.14,23.08
0.1775,29157,33148,74,1904,22.14,23.08
0.1800,29179,33143,82,2216,22.14,23.08
0.1825,29170,33143,74,1753,22.14,23.08
0.1850,29171,33143,87,516,22.14,23.08
0.1875,29168,33136,78,474,22.14,23.08
0.1900,29167,33138,79,920,22.14,23.08
0.1925,29177,33138,78,1096,22.14,23.08
0.1950,29169,33143,85,1300,22.14,23.08
0.1975,29171,33135,92,1706,22.14,23.08
0.2000,29157,33116,93,2035,22.14,23.08
0.2025,29169,33127,93,1720,22.14,23.08
0.2050,29168,33127,84,758,22.14,23.08
0.2075,29167,33123,90,566,22.14,23.08
0.2100,29170,33131,76,832,22.14,23.08
