Time (s),PPG_Red,PPG_IR,PPG_Green,ECG,Temp_Ambient,Temp_Object
0.0000,251,271,79,2328,23.13,23.2
0.0025,247,259,63,3801,23.13,23.2
0.0050,251,272,70,3387,23.13,23.2
0.0075,258,270,83,1337,23.13,23.2
0.0100,253,270,70,211,23.13,23.2
0.0125,248,266,71,64,23.13,23.2
0.0150,257,259,71,44,23.13,23.2
0.0175,254,276,76,652,23.13,23.2
0.0200,252,267,79,2381,23.13,23.2
0.0225,247,251,89,3856,23.13,23.2
0.0250,236,240,85,3440,23.13,23.2
0.0275,252,259,79,1393,23.13,23.2
0.0300,246,253,64,220,23.13,23.2
0.0325,237,253,90,69,23.13,23.2
0.0350,249,275,83,42,23.13,23.2
0.0375,255,271,64,730,23.13,23.2
0.0400,251,257,77,2457,23.13,23.2
0.0425,243,262,65,3854,23.13,23.2
0.0450,242,266,78,3376,23.13,23.2
0.0475,255,272,77,1307,23.13,23.2
0.0500,251,267,84,205,23.13,23.2
0.0525,246,259,75,65,23.13,23.2
0.0550,241,249,80,15,23.13,23.2
0.0575,252,249,85,621,23.13,23.2
0.0600,247,250,83,2491,23.13,23.2
0.0625,245,255,80,3968,23.13,23.2
0.0650,244,268,77,3377,23.13,23.2
0.0675,253,269,85,1350,23.13,23.2
0.0700,250,257,73,212,23.13,23.2
0.0725,247,255,72,58,23.13,23.2
0.0750,244,263,82,74,23.13,23.2
0.0775,259,273,80,669,23.13,23.2
0.0800,257,263,73,2348,23.13,23.2
0.0825,242,254,67,4084,23.13,23.2
0.0850,246,270,69,3309,23.13,23.2
0.0875,251,251,98,670,23.13,23.2
0.0900,246,241,89,200,23.13,23.2
0.0925,231,255,81,45,23.13,23.2
0.0950,241,264,86,10,23.13,23.2
0.0975,249,269,83,1081,23.13,23.2
0.1000,252,271,69,2376,23.13,23.2
0.1025,249,256,73,4095,23.13,23.2
0.1050,246,268,74,3395,23.13,23.2
0.1075,251,272,77,722,23.13,23.2
0.1100,247,266,71,203,23.13,23.2
0.1125,247,257,62,41,23.13,23.2
0.1150,246,246,78,20,23.13,23.2
0.1175,258,280,77,962,23.13,23.2
0.1200,246,238,77,2264,23.13,23.2
0.1225,244,259,68,4051,23.13,23.2
0.1250,248,266,85,3196,23.13,23.2
0.1275,257,261,88,627,23.13,23.2
0.1300,242,265,81,198,23.13,23.2
0.1325,238,253,68,29,23.13,23.2
0.1350,246,268,86,14,23.13,23.2
0.1375,250,280,74,873,23.13,23.2
0.1400,247,267,74,2193,23.13,23.2
0.1425,244,264,73,3944,23.13,23.2
0.1450,258,276,85,3129,23.13,23.2
0.1475,253,237,87,597,23.13,23.2
0.1500,248,248,78,178,23.13,23.2
0.1525,240,246,75,33,23.13,23.2
0.1550,249,266,73,2,23.13,23.2
0.1575,251,275,78,829,23.13,23.2
0.1600,240,265,77,2204,23.13,23.2
0.1625,247,256,68,4041,23.13,23.2
0.1650,251,264,87,3200,23.13,23.2
0.1675,251,269,78,618,23.13,23.2
0.1700,246,267,75,175,23.13,23.2
0.1725,239,258,66,42,23.13,23.2
0.1750,243,254,103,8,23.13,23.2
0.1775,255,253,87,961,23.13,23.2
0.1800,250,242,74,2257,23.13,23.2
0.1825,241,236,86,4095,23.13,23.2
0.1850,241,245,79,3248,23.13,23.2
0.1875,258,267,70,634,23.13,23.2
